"workid","authorid"
"OL11590206W","OL4890378A"
"OL12925168W","OL5853674A"
"OL13501880W","OL6371490A"
"OL13622961W","OL6480476A"
"OL15414252W","OL6832361A"
"OL16243257W","OL7033574A"
"OL16931792W","OL7202529A"
"OL16932854W","OL7202702A"
"OL17111812W","OL7239157A"
"OL1995436W","OL240226A"
"OL2122248W","OL264189A"
"OL3230827W","OL526291A"
"OL4165034W","OL786860A"
"OL4531112W","OL911462A"
"OL4635005W","OL951474A"
"OL4784617W","OL1005945A"
"OL6975918W","OL1943294A"
"OL8708583W","OL2950391A"
"OL885579W","OL78094A"
"OL10810892W","OL4517940A"
"OL11006511W","OL4580129A"
"OL12301013W","OL5385607A"
"OL12353047W","OL5425011A"
"OL12711485W","OL5689470A"
"OL12940805W","OL5866244A"
"OL13150434W","OL6049402A"
"OL16516763W","OL7082254A"
"OL16617949W","OL7119070A"
"OL16941503W","OL5914649A"
"OL16943664W","OL7204738A"
"OL16978208W","OL2680365A"
"OL17189326W","OL7243895A"
"OL17319624W","OL7278587A"
"OL17534915W","OL431643A"
"OL4304492W","OL836519A"
"OL4583129W","OL931389A"
"OL6042826W","OL1520578A"
"OL6411174W","OL1692128A"
"OL8056560W","OL2681337A"
"OL8131142W","OL2708408A"
"OL9037151W","OL3154619A"
"OL9623655W","OL3620781A"
"OL11817426W","OL5043015A"
"OL12343094W","OL5417588A"
"OL13595146W","OL6455083A"
"OL15183947W","OL31701A"
"OL16296208W","OL2670963A"
"OL16643574W","OL7128251A"
"OL16724592W","OL7158766A"
"OL16767676W","OL1295268A"
"OL16920943W","OL7124657A"
"OL16925698W","OL7201342A"
"OL16940361W","OL7200101A"
"OL16942723W","OL7204546A"
"OL16944343W","OL7200640A"
"OL16963797W","OL7202858A"
"OL17380753W","OL7297396A"
"OL2720307W","OL398121A"
"OL3679088W","OL635060A"
"OL4505540W","OL902332A"
"OL4624597W","OL948859A"
"OL4807804W","OL1012460A"
"OL4968453W","OL1072656A"
"OL5481955W","OL1297947A"
"OL9078115W","OL3182363A"
"OL11163968W","OL4661108A"
"OL13412510W","OL6300979A"
"OL14981671W","OL23251A"
"OL16936921W","OL401127A"
"OL16941585W","OL6955868A"
"OL16982427W","OL4161958A"
"OL17920776W","OL533340A"
"OL1984277W","OL238737A"
"OL3028708W","OL466962A"
"OL3188059W","OL511951A"
"OL3337107W","OL540893A"
"OL3923139W","OL714443A"
"OL4106735W","OL769953A"
"OL4621193W","OL947871A"
"OL5473544W","OL1294919A"
"OL6087449W","OL1547653A"
"OL8253268W","OL2746328A"
"OL8505824W","OL2844372A"
"OL890613W","OL78820A"
"OL8947664W","OL3098137A"
"OL10974641W","OL4561408A"
"OL11852485W","OL5067037A"
"OL12355730W","OL5426982A"
"OL12833054W","OL5783084A"
"OL13371478W","OL6263480A"
"OL13761260W","OL6603182A"
"OL16944558W","OL7201342A"
"OL16958094W","OL6996879A"
"OL16981618W","OL541899A"
"OL17984519W","OL4667612A"
"OL17984519W","OL2681529A"
"OL2038460W","OL246738A"
"OL2831940W","OL423299A"
"OL2971752W","OL454345A"
"OL3262811W","OL531803A"
"OL3486060W","OL581689A"
"OL4086320W","OL765355A"
"OL4895975W","OL1046506A"
"OL5151267W","OL1140278A"
"OL716848W","OL57437A"
"OL8961016W","OL3107615A"
"OL9273468W","OL3327580A"
"OL9830805W","OL3815049A"
"OL12362685W","OL5432076A"
"OL13360725W","OL6253809A"
"OL15547047W","OL221032A"
"OL16008187W","OL6962810A"
"OL16946173W","OL7205321A"
"OL16956459W","OL5518747A"
"OL16958004W","OL7207553A"
"OL16970451W","OL3154438A"
"OL17488450W","OL7328736A"
"OL2356178W","OL319713A"
"OL2710037W","OL396288A"
"OL2995894W","OL459246A"
"OL3370975W","OL548845A"
"OL3950012W","OL720578A"
"OL4854823W","OL1031112A"
"OL5059195W","OL1106417A"
"OL6087450W","OL1547653A"
"OL6428457W","OL1700832A"
"OL8097563W","OL2696446A"
"OL9076097W","OL3180242A"
"OL126120W","OL1246751A"
"OL15305312W","OL21522A"
"OL3038799W","OL469745A"
"OL3255868W","OL530450A"
"OL3294193W","OL538835A"
"OL3496658W","OL584129A"
"OL4742640W","OL989066A"
"OL4782482W","OL1005194A"
"OL4960211W","OL1070431A"
"OL5356455W","OL1233061A"
"OL7794954W","OL2460536A"
"OL862853W","OL75172A"
"OL9157780W","OL3234533A"
"OL9644491W","OL3640236A"
"OL10991537W","OL4571404A"
"OL11167029W","OL4662548A"
"OL12539911W","OL5563272A"
"OL13150278W","OL6049218A"
"OL13392894W","OL6282879A"
"OL1424993W","OL148215A"
"OL16114442W","OL6983157A"
"OL16114442W","OL6994749A"
"OL16114442W","OL6994750A"
"OL16915311W","OL7199274A"
"OL3130849W","OL495075A"
"OL3936582W","OL717362A"
"OL4813312W","OL1014327A"
"OL5126354W","OL1130962A"
"OL5613364W","OL1352786A"
"OL6040453W","OL1519466A"
"OL9508949W","OL3519237A"
"OL10418132W","OL4324598A"
"OL12341021W","OL5415930A"
"OL13502751W","OL6372252A"
"OL13826530W","OL6697233A"
"OL14923649W","OL23254A"
"OL16918858W","OL3178904A"
"OL16946839W","OL7205483A"
"OL16947285W","OL2696392A"
"OL16961443W","OL2829941A"
"OL17101523W","OL7236741A"
"OL2959044W","OL451935A"
"OL3915496W","OL712858A"
"OL4316294W","OL839716A"
"OL450249W","OL25359A"
"OL5369420W","OL1237948A"
"OL9383194W","OL3419892A"
"OL11558740W","OL4868387A"
"OL11673966W","OL4940622A"
"OL12054869W","OL5211288A"
"OL12807551W","OL5763303A"
"OL13613579W","OL6471895A"
"OL15409037W","OL50878A"
"OL15941117W","OL2751198A"
"OL15946404W","OL6944957A"
"OL16108751W","OL259969A"
"OL16945587W","OL4019309A"
"OL16945622W","OL7205197A"
"OL16976808W","OL4040398A"
"OL16987909W","OL2709800A"
"OL1974702W","OL237286A"
"OL4289467W","OL832475A"
"OL4451820W","OL886731A"
"OL4469687W","OL891318A"
"OL5743922W","OL1396924A"
"OL8019257W","OL459900A"
"OL8599984W","OL2889830A"
"OL8978488W","OL3117031A"
"OL9359468W","OL1076682A"
"OL9719785W","OL3710974A"
"OL11563220W","OL4871387A"
"OL13619855W","OL6477642A"
"OL13642110W","OL6498222A"
"OL16946305W","OL7204891A"
"OL16948615W","OL7205822A"
"OL16948659W","OL6733918A"
"OL16949924W","OL7206043A"
"OL16960020W","OL5063166A"
"OL17195050W","OL7245086A"
"OL17550174W","OL7345749A"
"OL18149180W","OL3412567A"
"OL1911980W","OL229029A"
"OL4024285W","OL744679A"
"OL4101175W","OL768502A"
"OL4135521W","OL777294A"
"OL4179914W","OL792164A"
"OL5765871W","OL1405257A"
"OL6209752W","OL1602284A"
"OL7940254W","OL2647444A"
"OL8324499W","OL2766950A"
"OL9009911W","OL3136954A"
"OL11546086W","OL4860607A"
"OL11567124W","OL4873949A"
"OL11748150W","OL4994318A"
"OL12267333W","OL5359229A"
"OL12301028W","OL5385620A"
"OL12318336W","OL5399083A"
"OL12343592W","OL5418006A"
"OL16011419W","OL23251A"
"OL16282633W","OL7037308A"
"OL16942052W","OL7204371A"
"OL16942492W","OL7204490A"
"OL16957528W","OL401127A"
"OL16963299W","OL7117861A"
"OL17465237W","OL3236483A"
"OL2624790W","OL382414A"
"OL2770738W","OL407749A"
"OL2942148W","OL448683A"
"OL3333712W","OL540165A"
"OL3501791W","OL585147A"
"OL3596489W","OL609105A"
"OL3742424W","OL656870A"
"OL4633024W","OL951004A"
"OL5452383W","OL1284353A"
"OL6220945W","OL1606994A"
"OL6243696W","OL1620657A"
"OL7939730W","OL2647145A"
"OL11148045W","OL4654005A"
"OL11764698W","OL5006197A"
"OL12403332W","OL5461229A"
"OL13393078W","OL6283055A"
"OL13686888W","OL6541513A"
"OL16939525W","OL7203845A"
"OL16939994W","OL7203938A"
"OL16940936W","OL7203938A"
"OL16941966W","OL1542835A"
"OL2917932W","OL444439A"
"OL3837819W","OL685646A"
"OL4092084W","OL766445A"
"OL4216921W","OL805610A"
"OL4786354W","OL1006529A"
"OL8057502W","OL2682334A"
"OL8712575W","OL2952601A"
"OL9157773W","OL3234533A"
"OL10058481W","OL4041195A"
"OL11178908W","OL4668894A"
"OL11259706W","OL4718019A"
"OL15400395W","OL575316A"
"OL15971024W","OL4585172A"
"OL16499945W","OL7077859A"
"OL16499945W","OL1310009A"
"OL16499945W","OL1294754A"
"OL16616829W","OL801630A"
"OL16924645W","OL7201228A"
"OL16941749W","OL3227061A"
"OL16970378W","OL7209921A"
"OL2628877W","OL382995A"
"OL3501788W","OL585147A"
"OL3796863W","OL672186A"
"OL3911367W","OL711833A"
"OL4359564W","OL855846A"
"OL4454629W","OL887492A"
"OL4776101W","OL1003198A"
"OL9830819W","OL3815065A"
"OL11210779W","OL4688531A"
"OL12355743W","OL5426992A"
"OL13761187W","OL6603115A"
"OL15408875W","OL6733984A"
"OL16148664W","OL6999008A"
"OL16148664W","OL7000324A"
"OL16973590W","OL401127A"
"OL2062403W","OL251874A"
"OL3514822W","OL588212A"
"OL4090255W","OL766144A"
"OL4812172W","OL1013859A"
"OL5092340W","OL1120780A"
"OL5356464W","OL1233061A"
"OL9247663W","OL3304410A"
"OL10373852W","OL4296884A"
"OL11007569W","OL4580868A"
"OL12718624W","OL5695072A"
"OL13150829W","OL6049929A"
"OL13590410W","OL6450662A"
"OL15976342W","OL6952792A"
"OL16626598W","OL6851877A"
"OL16626598W","OL7122334A"
"OL16641049W","OL445763A"
"OL16641049W","OL2785292A"
"OL16714691W","OL951696A"
"OL16920827W","OL541899A"
"OL16942441W","OL410544A"
"OL16957106W","OL7207399A"
"OL16969297W","OL7209709A"
"OL2660844W","OL388066A"
"OL3505157W","OL585879A"
"OL3940910W","OL718249A"
"OL4230065W","OL810567A"
"OL4794868W","OL1008905A"
"OL5013735W","OL1088385A"
"OL5754414W","OL1399991A"
"OL7037591W","OL1972603A"
"OL8132839W","OL2709870A"
"OL8613109W","OL2895492A"
"OL10928099W","OL4536704A"
"OL11210162W","OL4688149A"
"OL11562386W","OL4870848A"
"OL13437921W","OL6322623A"
"OL13450360W","OL6331687A"
"OL16324381W","OL2784787A"
"OL16993231W","OL7205106A"
"OL17305495W","OL7275188A"
"OL17885708W","OL5140887A"
"OL2274909W","OL297602A"
"OL2863680W","OL431971A"
"OL3281401W","OL536025A"
"OL3453093W","OL575042A"
"OL3671547W","OL632529A"
"OL4112515W","OL771290A"
"OL4171101W","OL788939A"
"OL4387793W","OL864656A"
"OL4595297W","OL936450A"
"OL4845538W","OL1027318A"
"OL5743767W","OL1396843A"
"OL11259702W","OL4718015A"
"OL11451227W","OL4818031A"
"OL11869181W","OL5080234A"
"OL15519875W","OL6860181A"
"OL16930600W","OL7202305A"
"OL16943556W","OL4154817A"
"OL16969347W","OL6857518A"
"OL16974914W","OL7210690A"
"OL17420452W","OL3617735A"
"OL18157577W","OL2951970A"
"OL1969986W","OL236690A"
"OL3365348W","OL547359A"
"OL3821895W","OL680138A"
"OL4454702W","OL887525A"
"OL6985990W","OL1949019A"
"OL11674320W","OL4940943A"
"OL13574679W","OL6436431A"
"OL16614602W","OL7117416A"
"OL16626676W","OL7122363A"
"OL16959693W","OL2944826A"
"OL16983085W","OL7051308A"
"OL18151123W","OL227073A"
"OL187705W","OL2103838A"
"OL3293196W","OL538619A"
"OL3346096W","OL542838A"
"OL5255710W","OL1187920A"
"OL5489843W","OL1301361A"
"OL6564961W","OL1759694A"
"OL9075170W","OL3178875A"
"OL10554127W","OL4382234A"
"OL11674419W","OL4941035A"
"OL13044188W","OL5951524A"
"OL13303283W","OL6202550A"
"OL15472705W","OL6847784A"
"OL16179436W","OL7013216A"
"OL16925990W","OL7200288A"
"OL16941211W","OL3179554A"
"OL16946687W","OL7205449A"
"OL16963255W","OL1551262A"
"OL17573642W","OL2902489A"
"OL17761698W","OL19807A"
"OL17761698W","OL1392192A"
"OL2645849W","OL385652A"
"OL3472664W","OL578871A"
"OL5353330W","OL1232216A"
"OL5442661W","OL1280287A"
"OL8003858W","OL2664030A"
"OL11674186W","OL4940825A"
"OL11995151W","OL5173259A"
"OL13410489W","OL6299195A"
"OL13531173W","OL6398357A"
"OL16304242W","OL7041840A"
"OL16698576W","OL7087286A"
"OL16990555W","OL7117861A"
"OL17435695W","OL7313305A"
"OL1761143W","OL205364A"
"OL3947301W","OL719871A"
"OL4087468W","OL765596A"
"OL4967810W","OL1072438A"
"OL5741013W","OL1395761A"
"OL8556591W","OL2868038A"
"OL8839160W","OL3028315A"
"OL10080794W","OL4062245A"
"OL13672156W","OL6527543A"
"OL16972909W","OL7206020A"
"OL16983844W","OL19582A"
"OL2087605W","OL256797A"
"OL3019188W","OL464654A"
"OL3512915W","OL587754A"
"OL3841938W","OL686949A"
"OL4274005W","OL828392A"
"OL495586W","OL32994A"
"OL6137780W","OL1569735A"
"OL8048400W","OL24282A"
"OL8694353W","OL2941410A"
"OL12506187W","OL5537981A"
"OL1311223W","OL133220A"
"OL13226682W","OL6133484A"
"OL13780199W","OL6621353A"
"OL15595922W","OL6720366A"
"OL16166822W","OL7007631A"
"OL16533169W","OL529327A"
"OL16668559W","OL23858A"
"OL16679319W","OL6749946A"
"OL16679319W","OL7113547A"
"OL16679319W","OL7142313A"
"OL16946114W","OL7205309A"
"OL16951792W","OL7161924A"
"OL16955103W","OL7207079A"
"OL17559652W","OL7348235A"
"OL1822941W","OL218488A"
"OL2710735W","OL396433A"
"OL3276636W","OL534913A"
"OL4035041W","OL748368A"
"OL4575213W","OL928352A"
"OL5854481W","OL1437216A"
"OL6105029W","OL1554365A"
"OL8233074W","OL2741290A"
"OL8362808W","OL2785380A"
"OL9008282W","OL3136014A"
"OL9166029W","OL3240299A"
"OL9386537W","OL3422674A"
"OL9507107W","OL3517686A"
"OL9817291W","OL3801488A"
"OL10058380W","OL4040911A"
"OL11314124W","OL4752636A"
"OL11779338W","OL5016376A"
"OL12240558W","OL5338625A"
"OL13412514W","OL6300983A"
"OL16240507W","OL7032356A"
"OL16931308W","OL798879A"
"OL16943312W","OL7204660A"
"OL16984638W","OL6691047A"
"OL17718531W","OL2746328A"
"OL17741065W","OL119677A"
"OL2563527W","OL365104A"
"OL3502611W","OL585313A"
"OL49502W","OL25161A"
"OL4972493W","OL1073795A"
"OL8102128W","OL2698747A"
"OL8794851W","OL2999156A"
"OL947441W","OL84337A"
"OL10524824W","OL4368575A"
"OL11792707W","OL5025608A"
"OL12617762W","OL5621966A"
"OL12663039W","OL5653588A"
"OL13346700W","OL6241189A"
"OL13537333W","OL6403462A"
"OL13589813W","OL6450077A"
"OL15601973W","OL20989A"
"OL16020076W","OL6966850A"
"OL16555743W","OL2822951A"
"OL16729841W","OL5542371A"
"OL16923971W","OL1708431A"
"OL17403225W","OL7303956A"
"OL17915188W","OL1603181A"
"OL4577886W","OL929224A"
"OL5273482W","OL1193640A"
"OL7999618W","OL2662574A"
"OL8947728W","OL3098163A"
"OL12120245W","OL5254836A"
"OL15611023W","OL3098211A"
"OL16941077W","OL2766532A"
"OL16989846W","OL6776646A"
"OL3488982W","OL582401A"
"OL4697617W","OL971991A"
"OL4847795W","OL1028161A"
"OL600120W","OL44987A"
"OL8856014W","OL3039497A"
"OL9583010W","OL3582956A"
"OL9593712W","OL3593189A"
"OL12466829W","OL5508967A"
"OL1311227W","OL133220A"
"OL13226523W","OL6133331A"
"OL15440992W","OL385395A"
"OL16460441W","OL7065152A"
"OL16679746W","OL7142545A"
"OL16953765W","OL7206835A"
"OL16976294W","OL7210998A"
"OL16989850W","OL1199973A"
"OL18164941W","OL1235534A"
"OL1923651W","OL230611A"
"OL1987976W","OL239260A"
"OL3344685W","OL542612A"
"OL3855022W","OL691311A"
"OL3900755W","OL709436A"
"OL4387870W","OL864656A"
"OL6668634W","OL1802153A"
"OL8001824W","OL2663079A"
"OL8373437W","OL2789387A"
"OL8856165W","OL3039668A"
"OL11193365W","OL4677155A"
"OL11546734W","OL4861029A"
"OL13069772W","OL5973603A"
"OL15494169W","OL6845303A"
"OL15533626W","OL6863547A"
"OL15588927W","OL6864765A"
"OL16686048W","OL7144956A"
"OL16915904W","OL2817949A"
"OL16929774W","OL7202123A"
"OL16939519W","OL4069672A"
"OL16975524W","OL443308A"
"OL17355891W","OL7290062A"
"OL17440658W","OL7314712A"
"OL1906741W","OL228269A"
"OL4293839W","OL833653A"
"OL4776121W","OL1003203A"
"OL7833047W","OL2492947A"
"OL9248434W","OL3305165A"
"OL10390762W","OL4307800A"
"OL11320467W","OL4755548A"
"OL12233070W","OL5332123A"
"OL13289513W","OL6190159A"
