"id","name"
"OL1031112A","Dietmar Zaefferer"
"OL2766532A","Patrick Blackburn"
"OL2783933A","Terry Dartnall"
"OL325790A","Australian Joint Conference on Artificial Intelligence (8th 1995 Canberra A.C.T.)"
"OL393180A","Irwin R. Goodman"
"OL422488A","Bremer KI-Pfingstworkshop (2nd 1996 Bremen, Germany)"
"OL4433951A","Martyn Thomas Quigley"
"OL444439A","Philip J. Hilts"
"OL4865567A","James G. Allen"
"OL492713A","DFKI Workshop on Taxonomic Reasoning (1992 Saarbrücken, Germany)"
"OL5254836A","International Conference on Systems Research, Informatics, and Cybernetics (6th 1992 Baden-Baden, Germany)"
"OL580058A","Jerry M. Mendel"
"OL6115415A","International Workshop on Temporal Representation and Reasoning (3rd 1996 Key West, Fla.)"
"OL6300983A","International Conference on Cognitive Technology (2nd 1997 Aizu-Wakamatsu City, Japan)"
"OL6956313A","Yuri Iserlis"
"OL6993062A","V. M. Kureĭchik"
"OL7124964A","Allan Hanbury"
"OL7167640A","William Hertling"
"OL7207553A","Andrej Dobnikar"
"OL7244185A","Eva Volna"
"OL922388A","I͡Uriĭ Nikolaevich Pecherskiĭ"
"OL291739A","Yves Kodratoff"
"OL4855053A","PerMIS Workshop (2000 National Institute of Standards and Technology)"
"OL5366389A","Gerhard Lakemeyer"
"OL6465944A","COMMA 2008 (2008 Institut de Recherche en Informatique de Toulouse)"
"OL7316362A","Augusto Loureiro da Costa"
"OL7345911A","Constantinos Koutsojannis"
"OL839685A","B. Jack Copeland"
"OL1121905A","Edward A. Patrick"
"OL1232319A","Zenon W. Pylyshyn"
"OL1235534A","William Skyvington"
"OL2816666A","LUGER"
"OL2941409A","Kristian Hammond"
"OL3409465A","Peter Politakis"
"OL450098A","Robert R. Trippi"
"OL5898832A","International Conference on Industrial & Engineering Applications of Artificial Intelligence & Expert Systems (10th 1997 Atlanta, Ga.)"
"OL6461884A","International Conference on Industrial & Engineering Applications of Artificial Intelligence & Expert Systems (21st 2008 Wrocław, Poland)"
"OL716170A","Robert Alan Brown"
"OL7201342A","Imre J. Rudas"
"OL7207898A","Paul S. Andrews"
"OL774260A","Hector Geffner"
"OL1120365A","Pentti Kanerva"
"OL1189302A","B. G. Schumacher"
"OL193060A","Melissa Scott"
"OL230611A","Jean-Paul Doignon"
"OL236635A","David Zhang"
"OL2652960A","George Chacko"
"OL2662574A","Jack Copeland"
"OL2682899A","Karamjit S. Gill"
"OL291445A","Etienne Wenger"
"OL338344A","IEEE/RSJ International Conference on Intelligent Robots and Systems (1995 Pittsburgh, Pa.)"
"OL3981612A","A Andrew"
"OL404157A","Ellen Thro"
"OL445763A","Michael L. Brodie"
"OL5398719A","International Workshop on Agent Theories, Architectures, and Languages (2nd 1995 Montréal, Québec)"
"OL6860181A","European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty (10th 2009 Verona, Italy)"
"OL712858A","International Conference on Simulation of Adaptive Behavior (2nd 1992 Honolulu, Hawaii)"
"OL7203938A","Mohamed Kamel"
"OL7208423A","Jacek Koronacki"
"OL7432118A","Paul R. Daugherty"
"OL778450A","Conference on AI, Simulation and Planning in High Autonomy Systems (3rd 1992 Perth, W.A.)"
"OL931389A","S. L. O'Dell"
"OL1167332A","Christoph Hubig"
"OL1482693A","International Conference on Computational Intelligence and Multimedia Applications (4th 2001 Yokusika City, Japan)"
"OL2125980A","John P. Buchanan"
"OL231143A","IFAC/CIGR Workshop (3rd 1998 Makuhari, Japan)"
"OL233093A","Larry Bond"
"OL2470862A","International Symposium on Artificial Intelligence, Robotics, and Automation for Space (5th 1999 Noordwijk, Netherlands)"
"OL2693438A","Rainier Born"
"OL2711282A","Scientific American"
"OL28892A","David Moos"
"OL289034A","Florida AI Research Symposium (11th 1998 Sanibel Island, Fla.)"
"OL30668A","Peter Gärdenfors"
"OL4580868A","International Joint Conference on Artificial Intelligence (8th 1983 Karlsruhe, West Germany)"
"OL4941229A","SUM 2007 (2007 Washington, D.C.)"
"OL5181286A","VW 2000 (2000 Paris, France)"
"OL541699A","Alan Bundy"
"OL575375A","Dobrivoje Popović"
"OL575533A","Peter Haddawy"
"OL6686609A","International Conference on New Trends in Software Methodologies, Tools and Techniques (7th 2008 Sharjah, United Arab Emirates)"
"OL6845303A","International Conference on Systems Research, Informatics and Cybernetics (21st 2009 Baden-Baden, Germany)"
"OL7161927A","Dhinaharan Nagamalai"
"OL7196789A","Wade Benton Townsend"
"OL929811A","International Symposium on Methodologies for Intelligent Systems (5th 1990 Knoxville, Tenn.)"
"OL1776634A","American Society for Cybernetics."
"OL2679954A","Qing Zhang"
"OL3254019A","Wen Yu"
"OL4660136A","Goddard Conference on Space Applications of Artificial Intelligence (7th 1992 Goddard Space Flight Center)"
"OL4688149A","European Conference on Artificial Intelligence (1982 Orsay, France)"
"OL501915A","German Workshop on Artificial Intelligence (18th 1994 Saarbrücken, Germany)"
"OL5122417A","N. N. Kiselëva"
"OL5181274A","International Workshop on Temporal Representation and Reasoning (7th 2000 Cape Breton, Nova Scotia)"
"OL577833A","Rudolf Kruse"
"OL6120711A","Conference on Artificial Intelligence Applications. (4th 1988 San Diego, Calif.)"
"OL6331687A","Jonathan McCullough"
"OL661174A","Eric Bonse"
"OL7117460A","Regina Bernhaupt"
"OL7357880A","Micha Araszkiewicz"
"OL1072656A","Paul Kenneth Wright"
"OL1396260A","ICAISC 2004 (2004 Zakopane, Poland)"
"OL1820516A","Sándor Csibi"
"OL224976A","Donald A. Norman"
"OL2899234A","Derek Partridge"
"OL349505A","Pierre-Yves Raccah"
"OL402619A","Carol Vorderman"
"OL454195A","O. V. German"
"OL495075A","V. V. Martynov"
"OL5191043A","International Symposium on Methodologies for Intelligent Systems (17th 2008 Toronto, Canada)"
"OL6096954A","Philippe-André Holzer"
"OL6780596A","N. A. Zagoskina"
"OL7101813A","Tadeusz Kwater"
"OL717362A","Eugene Charniak"
"OL732640A","Clinic on Library Applications of Data Processing (27th 1990 University of Illinois at Urbana-Champaign)"
"OL7399065A","Max Tegmark"
"OL119677A","Ralph Roberts"
"OL1422038A","SGAI International Conference on Innovative Techniques and Applications of Artificial Intelligence (23rd 2003 Cambridge, England)"
"OL2680440A","Petraq J. Papajorgji"
"OL2682648A","C. Macnish"
"OL428915A","Rochester FORTH Applications Conference (1986 University of Rochester)"
"OL431971A","International ISMICK Symposium (4th 1996 Rotterdam (Netherlands))"
"OL4854687A","James Lowrie"
"OL5095757A","International Joint Conference on Artificial Intelligence (20th 2007 Hyderabad, India)"
"OL6050326A","Conference on Artificial Intelligence Applications (1992 Monterey, Calif.)"
"OL6412827A","Roger C. Schank"
"OL6506692A","Starting Artificial Intelligence Researchers Symposium (4th 2008)"
"OL691698A","Trifonov, Trifon kandidat na pedagogicheskite nauki."
"OL7051694A","Pacific Rim International Conference on Artificial Intelligence (11th 2010 Daegu, Korea)"
"OL1028161A","George Johnson"
"OL1596602A","Rogers, James L."
"OL1918824A","IEEE Computer Society."
"OL237286A","Ali Bahrami"
"OL2741290A","SC SHAPIRO"
"OL4862423A","Lothar Kaul"
"OL5220310A","IEA/AIE 2006 (2006 Annecy, France)"
"OL5551588A","Seema Nundy"
"OL6184170A","International Conference on Tools for Artificial Intelligence (5th 1993 Boston, Mass.)"
"OL7035059A","Carlos Alberto Ochoa Ortiz Zezzatti"
"OL7204246A","Igor Chikalov"
"OL7204365A","Sven Helmer"
"OL7207650A","Jyrki Kivinen"
"OL1003198A","Jerome Clayton Glenn"
"OL1125258A","Richard E. Cullingford"
"OL2881296A","John F. Kilner"
"OL4040969A","Doris R. Scott"
"OL4257619A","Mary Kathryn Allen"
"OL475142A","International Conference on Artificial Intelligence: Methodology, Systems, Applications (6th 1994 Sofia, Bulgaria)"
"OL5508967A","World Congress on Philosophy of Law and Social Philosophy (22nd 2005 Granada, Spain)"
"OL5771767A","Satoshi Tōjō"
"OL577460A","Benjamin Kuipers"
"OL585313A","Steven Bird"
"OL6120687A","International Conference on Artificial Intelligence: Methodology, Systems, Applications. (5th 1992 Sofia, Bulgaria)"
"OL6472809A","International Symposium on Smart Graphics"
"OL6604262A","Igorʹ Mikhaĭlovich Makarov"
"OL6808480A","Steven Brain"
"OL6943222A","Alexander Gelbukh"
"OL7085495A","Tsutomu Miki"
"OL7204304A","Crina Grosan"
"OL7299382A","Ondrej Martinsky"
"OL1191568A","Miklos A. Vasarhelyi"
"OL2945669A","Nikolaos F. Matsatsinis"
"OL384050A","Alfred B. Bortz"
"OL4525809A","International Joint Conference on Artificial Intelligence (6th 1979 Tokyo)"
"OL4668894A","Jane T. Malin"
"OL5130367A","Stephen Baker"
"OL6049877A","IEEE/RSJ International Conference on Intelligent Robots and Systems (2001 Maui, Hawaii)"
"OL7206686A","Masaaki Kurosu"
"OL7206923A","Dezhen Song"
"OL7207722A","Hernsoo Hahn"
"OL2785453A","Max Mühlhäuser"
"OL2908306A","Lakhmi C. Jain"
"OL3179839A","Maurizio Lenzerini"
"OL3180264A","Corrado Priami"
"OL320200A","J. C. Heudin"
"OL3332771A","Roland Hausser"
"OL3815063A","David Haussler"
"OL4897509A","Ron Broderick"
"OL530764A","P. Saratchandran"
"OL5592863A","Sandy Griffin"
"OL5603239A","AISB-89 (1989 University of Sussex)"
"OL6436685A","Conference on Uncertainty in Artificial Intelligence (9th 1993)"
"OL6543394A","National Conference on Artificial Intelligence (13th 1996 Oregon)"
"OL6733984A","Zude Zhou"
"OL6788902A","John S. Gero"
