"editionid","publisherid","pubyear","pubplace"
"OL10238394M","1","1996","0"
"OL10325063M","2","2003","0"
"OL10338450M","3","","0"
"OL1194990M","4","1989","1"
"OL12231416M","5","1999","0"
"OL12317565M","6","2003","0"
"OL1271154M","7","1995","2"
"OL14379516M","8","1985","3"
"OL15374613M","9","1991","4"
"OL15446907M","10","1994","5"
"OL17972862M","11","1990","6"
"OL1868309M","12","1992","7"
"OL18806915M","13","1988","8"
"OL22270300M","14","1991","9"
"OL25538867M","15","2010","10"
"OL25548091M","16","2011","10"
"OL2735565M","17","1987","11"
"OL364335M","18","1999","12"
"OL4172902M","19","1978","13"
"OL7663296M","20","1990","0"
"OL8082964M","21","1998","0"
"OL8236842M","22","1987","0"
"OL9339180M","2","2000","0"
"OL9703303M","2","2005","0"
"OL9795911M","23","1992","0"
"OL10076573M","24","1988","0"
"OL10237356M","1","1989","14"
"OL11347182M","25","1994","0"
"OL1472891M","26","1990","15"
"OL1884133M","27","1991","16"
"OL1886131M","28","1990","17"
"OL2029009M","29","1991","18"
"OL21344814M","29","1993","18"
"OL21366652M","30","1989","19"
"OL25551946M","31","2009","10"
"OL25565127M","32","2011","20"
"OL25573241M","15","2011","10"
"OL2734925M","33","1987","2"
"OL478884M","34","1998","21"
"OL7409684M","35","1998","0"
"OL8975647M","36","1992","0"
"OL9100912M","37","1996","0"
"OL9650945M","1","1992","0"
"OL9707292M","1","2004","0"
"OL10966884M","38","2001","0"
"OL11327840M","39","1984","0"
"OL14909883M","40","1976","22"
"OL1586674M","29","1990","18"
"OL18807183M","41","1984","20"
"OL19018546M","2","1998","18"
"OL21640382M","42","2004","23"
"OL23213379M","43","2009","24"
"OL24476995M","44","2010","25"
"OL24964256M","45","2002","26"
"OL25548170M","16","2011","10"
"OL25984372M","2","2012","0"
"OL26140375M","2","2012","0"
"OL26297019M","46","2005","27"
"OL797450M","47","1996","9"
"OL823078M","48","1996","28"
"OL8372043M","2","2007","0"
"OL9056126M","2","2006","0"
"OL9063522M","2","2007","0"
"OL9770321M","2","2005","0"
"OL10438274M","49","2008","0"
"OL11470958M","50","1988","0"
"OL12317717M","6","2006","0"
"OL12774219M","2","2006","0"
"OL14727789M","51","1991","29"
"OL1544994M","33","1991","2"
"OL16132422M","52","1988","30"
"OL17727166M","2","2007","18"
"OL18258249M","2","2006","18"
"OL18509725M","53","1973","31"
"OL21878388M","54","1976","32"
"OL25544537M","15","2008","10"
"OL25547396M","55","2010","10"
"OL25549295M","56","2009","6"
"OL25762108M","57","2013","0"
"OL2742849M","58","1986","33"
"OL4724353M","59","1978","2"
"OL678332M","60","1997","17"
"OL8336888M","61","1987","0"
"OL9056473M","2","2006","0"
"OL9057070M","2","2000","0"
"OL9058130M","2","2006","0"
"OL9407035M","2","2005","0"
"OL9887493M","62","1987","0"
"OL1011451M","5","1997","1"
"OL12775495M","2","2007","0"
"OL1301716M","63","1991","34"
"OL13840712M","64","1984","35"
"OL1392925M","65","1994","36"
"OL17979166M","66","1986","1"
"OL19291439M","2","2005","18"
"OL2212891M","67","1989","37"
"OL22717155M","68","1988","0"
"OL24323327M","69","2003","38"
"OL2542222M","67","1986","37"
"OL25547843M","16","2011","10"
"OL25553356M","31","2009","10"
"OL26457833M","70","2013","27"
"OL2860618M","67","1985","37"
"OL3182858M","67","1984","39"
"OL4242074M","71","1980","40"
"OL5885375M","72","1963","1"
"OL661612M","73","1997","1"
"OL792064M","29","1995","18"
"OL8372922M","60","2005","0"
"OL8390478M","74","1993","0"
"OL8855036M","75","2006","0"
"OL9054719M","2","2004","0"
"OL9054755M","2","2004","0"
"OL9062750M","2","1998","0"
"OL10896962M","76","2001","0"
"OL10966489M","77","1999","0"
"OL12810184M","2","2007","0"
"OL13840878M","78","1985","41"
"OL14451840M","79","1993","42"
"OL1467127M","80","1989","43"
"OL15303388M","81","1980","44"
"OL16585574M","82","1983","45"
"OL17045639M","83","2002","46"
"OL17935910M","2","2007","18"
"OL19535822M","84","1989","2"
"OL2099796M","29","1988","18"
"OL22540352M","2","2003","18"
"OL22827451M","33","1988","2"
"OL2539425M","85","1986","1"
"OL25546164M","16","2011","10"
"OL25547826M","16","2011","10"
"OL25548001M","31","2011","10"
"OL25554840M","15","2010","10"
"OL25562881M","31","2011","10"
"OL2737894M","86","1987","1"
"OL3573879M","87","2002","47"
"OL7278123M","88","2002","0"
"OL758366M","89","1996","48"
"OL8910754M","90","2001","0"
"OL8920137M","91","2005","0"
"OL9508084M","92","1989","0"
"OL9687541M","93","1999","0"
"OL12317545M","37","2003","0"
"OL14841765M","94","1979","49"
"OL1550699M","95","1992","6"
"OL18141722M","2","2000","1"
"OL18240438M","96","1991","50"
"OL1955058M","2","1990","18"
"OL2194595M","67","1990","37"
"OL22771254M","97","1986","1"
"OL23155589M","2","2002","18"
"OL23735192M","2","2008","18"
"OL24061739M","18","2009","12"
"OL25060438M","2","2010","18"
"OL25138072M","2","2010","18"
"OL25296860M","2","2010","18"
"OL25559947M","98","2004","51"
"OL25565683M","31","2009","10"
"OL2713835M","99","1986","18"
"OL3023577M","100","1986","52"
"OL7629779M","101","1992","0"
"OL794305M","60","1995","53"
"OL8053652M","25","2006","0"
"OL821722M","6","1995","2"
"OL9062688M","2","1998","0"
"OL9063038M","2","1999","0"
"OL9266138M","102","1984","0"
"OL9464844M","2","2004","0"
"OL9531463M","103","2003","0"
"OL9580672M","2","2007","0"
"OL9701646M","2","2003","0"
"OL10237026M","1","1987","0"
"OL10238489M","1","1998","0"
"OL1429479M","104","1993","54"
"OL14926528M","105","1984","55"
"OL15394643M","106","2002","56"
"OL16506924M","2","2008","6"
"OL17006830M","2","2007","18"
"OL17903027M","107","1990","43"
"OL18187352M","2","2003","1"
"OL2045939M","108","1988","57"
"OL22637739M","109","1989","58"
"OL2384667M","60","1987","17"
"OL25313849M","6","2010","59"
"OL25498492M","110","1987","60"
"OL25508577M","71","1978","61"
"OL25551719M","15","2011","10"
"OL25579788M","31","2010","10"
"OL2710275M","11","1986","6"
"OL2862323M","111","1985","62"
"OL379769M","2","1998","18"
"OL6899651M","112","1999","63"
"OL7326121M","113","1977","0"
"OL8362777M","114","2007","0"
"OL9058040M","2","2006","0"
"OL932098M","29","1995","18"
"OL9509078M","2","2000","0"
"OL9731181M","115","2003","0"
"OL997796M","7","1996","2"
"OL1105707M","49","1995","64"
"OL11389396M","116","1991","0"
"OL12807226M","37","1990","0"
"OL14117657M","117","1974","65"
"OL15368744M","118","1992","66"
"OL1877671M","60","1990","17"
"OL20120535M","119","1991","67"
"OL20325206M","120","1987","68"
"OL20531814M","121","1991","6"
"OL21463899M","4","2002","8"
"OL2220920M","122","1990","69"
"OL2384305M","123","1988","70"
"OL24033824M","124","2011","71"
"OL24673765M","125","1987","72"
"OL24823142M","126","2011","73"
"OL25101441M","95","2012","1"
"OL25307016M","86","2012","74"
"OL26144012M","2","2009","0"
"OL2726064M","33","1986","2"
"OL2862649M","127","1985","17"
"OL661173M","2","1997","18"
"OL8377859M","128","1987","0"
"OL9053628M","2","2002","0"
"OL9056498M","2","2006","0"
"OL16927170M","2","1997","18"
"OL17326541M","129","1990","43"
"OL20764174M","2","2000","18"
"OL2226213M","33","1990","2"
"OL22470763M","130","1998","75"
"OL22643882M","2","1997","18"
"OL25032836M","131","2012","1"
"OL25538877M","15","2010","10"
"OL25550031M","31","2009","10"
"OL25552891M","2","2009","53"
"OL25552994M","31","2009","10"
"OL26567777M","132","2017","76"
"OL3187205M","133","1984","1"
"OL4051941M","134","1969","34"
"OL4212199M","135","1979","77"
"OL675171M","136","1998","78"
"OL692033M","137","1997","18"
"OL7454365M","138","2006","0"
"OL7693069M","139","1990","0"
"OL1410025M","67","1993","37"
"OL1412658M","67","1994","37"
"OL1544885M","140","1991","1"
"OL1574006M","116","1991","79"
"OL16419155M","141","2006","80"
"OL16928097M","142","2008","81"
"OL17107716M","143","1992","82"
"OL21378492M","144","1991","2"
"OL21520051M","133","1972","1"
"OL2152827M","71","1988","83"
"OL21573583M","141","2000","1"
"OL2200133M","29","1989","18"
"OL22839875M","145","1987","2"
"OL23158836M","146","2007","84"
"OL24251118M","147","2004","1"
"OL2538838M","60","1986","17"
"OL25545498M","16","2011","10"
"OL25549847M","31","2011","10"
"OL3177232M","136","1984","78"
"OL468655M","148","1995","85"
"OL7480844M","95","1988","0"
"OL7533706M","33","1991","0"
"OL9510022M","2","2005","0"
"OL9878647M","2","2004","0"
"OL10335841M","3","2008","0"
"OL13341742M","149","1985","0"
"OL1596391M","150","1990","34"
"OL18288200M","2","2007","18"
"OL19208832M","151","2000","86"
"OL1942112M","152","1989","87"
"OL20906088M","116","1999","88"
"OL21424503M","153","1990","1"
"OL21437208M","33","1986","2"
"OL24013944M","124","2011","71"
"OL24298525M","18","2007","1"
"OL25170022M","2","2010","18"
"OL25370877M","6","2010","2"
"OL25556794M","15","2011","10"
"OL25573816M","2","2009","18"
"OL26137015M","2","2012","0"
"OL3171156M","67","1984","37"
"OL3687220M","154","2004","89"
"OL9783874M","2","2004","0"
"OL9885855M","155","1993","0"
"OL14842469M","156","1987","90"
"OL15345262M","157","1986","91"
"OL17352985M","158","1984","92"
"OL17457378M","159","1997","93"
"OL17684343M","160","1985","42"
"OL17788744M","161","1994","94"
"OL17859400M","117","1974","65"
"OL17972866M","29","1988","18"
"OL18007530M","30","1992","1"
"OL18009468M","162","1991","95"
"OL1854566M","67","1990","37"
"OL19101440M","163","1991","93"
"OL19540252M","164","1979","96"
"OL22016809M","165","2000","97"
"OL22478892M","6","2001","2"
"OL22626596M","2","2005","6"
"OL22752295M","166","2007","20"
"OL22808028M","167","1984","6"
"OL24319128M","49","2005","0"
"OL25524589M","110","1983","60"
"OL25545203M","15","2010","10"
"OL25546853M","15","2011","10"
"OL25554317M","15","2010","10"
"OL25883093M","168","2008","98"
"OL2719923M","153","1987","1"
"OL7342034M","169","1980","0"
"OL7445618M","2","2006","0"
"OL9451327M","2","2003","0"
"OL1004793M","67","1997","37"
"OL1279715M","170","1995","99"
"OL14905491M","171","1976","6"
"OL17292949M","136","1985","78"
"OL17906178M","2","2007","18"
"OL17930531M","172","2005","28"
"OL18628842M","6","2005","2"
"OL20252576M","140","1962","1"
"OL21039446M","173","1990","100"
"OL2195562M","174","1989","78"
"OL25313793M","2","2010","18"
"OL25337881M","6","2010","101"
"OL2535102M","33","1985","2"
"OL25538617M","175","2009","102"
"OL25546582M","16","2011","10"
"OL25546915M","16","2011","10"
"OL25548302M","15","2012","10"
"OL25551869M","31","2011","10"
"OL26457867M","70","2017","27"
"OL566714M","176","1995","6"
"OL5675405M","177","1968","103"
"OL792157M","116","1996","79"
"OL9211700M","178","1990","0"
"OL11269113M","179","1999","0"
