"editionid","workid"
"OL10238394M","OL17832775W"
"OL10325063M","OL9383183W"
"OL10338450M","OL9387087W"
"OL1194990M","OL3645318W"
"OL12231416M","OL9868514W"
"OL12317565M","OL9890258W"
"OL1271154M","OL3299238W"
"OL14379516M","OL11007569W"
"OL15374613M","OL11549694W"
"OL15446907M","OL11272424W"
"OL17972862M","OL12294658W"
"OL1868309M","OL4459315W"
"OL18806915M","OL12539653W"
"OL22270300M","OL12414307W"
"OL25538867M","OL16925498W"
"OL25548091M","OL16946114W"
"OL2735565M","OL4106938W"
"OL364335M","OL1905169W"
"OL4172902M","OL6380894W"
"OL7663296M","OL4799511W"
"OL8082964M","OL3495624W"
"OL8236842M","OL8625957W"
"OL9339180M","OL17771411W"
"OL9703303M","OL16931086W"
"OL9795911M","OL9273468W"
"OL10076573M","OL8708583W"
"OL10237356M","OL4620016W"
"OL11347182M","OL49676W"
"OL1472891M","OL4006783W"
"OL14739700M","OL11201222W"
"OL15184398M","OL11439762W"
"OL1884133M","OL3474172W"
"OL1886131M","OL4479002W"
"OL2029009M","OL4616340W"
"OL21344814M","OL13360849W"
"OL21366652M","OL4788907W"
"OL25551946M","OL16954239W"
"OL25565127M","OL16982459W"
"OL25573241M","OL16998144W"
"OL2734925M","OL5275827W"
"OL478884M","OL2252730W"
"OL7409684M","OL2665230W"
"OL8975647M","OL9037654W"
"OL9100912M","OL8322610W"
"OL9650945M","OL585620W"
"OL9707292M","OL17772646W"
"OL10966884M","OL9507108W"
"OL11327840M","OL3571238W"
"OL14909883M","OL2758710W"
"OL1586674M","OL4152760W"
"OL18807183M","OL12539911W"
"OL19018546M","OL12608144W"
"OL19902490M","OL12925847W"
"OL21640382M","OL11744096W"
"OL23213379M","OL7940253W"
"OL24476995M","OL15518435W"
"OL24964256M","OL16066382W"
"OL25548170M","OL16946260W"
"OL25984372M","OL17403225W"
"OL26140375M","OL17550188W"
"OL26297019M","OL49676W"
"OL797450M","OL2949901W"
"OL823078M","OL3005003W"
"OL8372043M","OL17773348W"
"OL9056126M","OL16931546W"
"OL9063522M","OL17773374W"
"OL9770321M","OL16933085W"
"OL10438274M","OL9397124W"
"OL11470958M","OL9644470W"
"OL12317717M","OL12090319W"
"OL12774219M","OL16931714W"
"OL14727789M","OL11193365W"
"OL1544994M","OL4099104W"
"OL16132422M","OL11671969W"
"OL17727166M","OL12242780W"
"OL18258249M","OL12365036W"
"OL18509725M","OL12438108W"
"OL21878388M","OL4832943W"
"OL25544537M","OL16939153W"
"OL25547396M","OL16944756W"
"OL25549295M","OL16948615W"
"OL25762108M","OL17190396W"
"OL2742849M","OL2105779W"
"OL4724353M","OL6801052W"
"OL678332M","OL2687531W"
"OL8336888M","OL3269368W"
"OL9056473M","OL16933269W"
"OL9057070M","OL12225942W"
"OL9058130M","OL16933251W"
"OL9407035M","OL16930467W"
"OL9887493M","OL9289546W"
"OL1011451M","OL3267865W"
"OL12775495M","OL12301028W"
"OL1301716M","OL2814175W"
"OL13840712M","OL6105029W"
"OL1392925M","OL83358W"
"OL17979166M","OL4644815W"
"OL19291439M","OL12711694W"
"OL2212891M","OL17774333W"
"OL22717155M","OL12532672W"
"OL24323327M","OL15191072W"
"OL2542222M","OL5106411W"
"OL25547843M","OL16945644W"
"OL25553356M","OL16957528W"
"OL26457833M","OL49676W"
"OL2860618M","OL120382W"
"OL3182858M","OL16984636W"
"OL4242074M","OL5136711W"
"OL5885375M","OL2998831W"
"OL661612M","OL16489W"
"OL792064M","OL2936951W"
"OL8372922M","OL6542635W"
"OL8390478M","OL8711171W"
"OL8855036M","OL4794868W"
"OL9054719M","OL16984220W"
"OL9054755M","OL16924287W"
"OL9062750M","OL9078108W"
"OL10896962M","OL4615883W"
"OL10966489M","OL6927045W"
"OL12810184M","OL16995484W"
"OL13840878M","OL8708583W"
"OL14451840M","OL11033731W"
