"id","title","numpages","ISBN10","ISBN13","physfmt","pubdate"
"OL10238394M","From Animals to Animats 4","600","0262631784","9780262631785","Paperback","August 26, 1996"
"OL10325063M","Reasoning and Unification over Conceptual Graphs","162","0306474875","9780306474873","Hardcover","January 31, 2003"
"OL10338450M","Artificial Intelligence Applications in Robotics C Loth","NULL","0471853658","9780471853657","Hardcover","NULL"
"OL1194990M","Proceedings","NULL","0897913205","NULL","NULL","1989"
"OL12231416M","Solutions Manual for Electric Systems, Dynamics, and Stability with Artificial Intelligence Applications","NULL","1574444204","9781574444209","Ring-bound","November 1999"
"OL12317565M","Advances in Intelligent Systems and Robotics (Frontiers in Artificial Intelligence and Applications,)","232","1586033867","9781586033866","Hardcover","December 31, 2003"
"OL1271154M","Foundational issues in artificial intelligence and cognitive science","384","0444820485","NULL","NULL","1995"
"OL14379516M","IJCAI-83","1206","NULL","NULL","NULL","1985"
"OL15374613M","Robot graphic simulation testbed","NULL","NULL","NULL","Microform","1991"
"OL15446907M","Logica, significato e intelligenza artificiale","336","NULL","NULL","NULL","1994"
"OL17972862M","TREAT","144","0273087932","NULL","NULL","1990"
"OL1868309M","Engineering artificial intelligence software","212","0893917788","NULL","NULL","1992"
"OL18806915M","Proceedings","1189","0897912713","NULL","NULL","1988"
"OL22270300M","Mind, machines, and human consciousness","247","0809240254","NULL","NULL","1991"
"OL25538867M","Computational Intelligence in Expensive Optimization Problems","NULL","NULL","9783642107009","[electronic resource] /","2010"
"OL25548091M","Modeling and Using Context","NULL","NULL","9783642242786","[electronic resource] :","2011"
"OL2735565M","articulate computer","240","0631140093","NULL","NULL","1987"
"OL364335M","Artificial-intelligence-based electrical machines and drives","625","019859397X","NULL","NULL","1999"
"OL4172902M","Tezisy dokladov i soobshcheniĭ","114","NULL","NULL","NULL","1978"
"OL7663296M","The Improbable Machine","336","0671725092","9780671725099","Paperback","September 1990"
"OL8082964M","Evolutionary Computation","656","0780334817","9780780334816","Hardcover","May 1, 1998"
"OL8236842M","Artificial Intelligence and Education","448","089391438X","9780893914387","Hardcover","May 1987"
"OL9339180M","Algebraic Frames for the Perception-Action Cycle","350","3540410139","9783540410133","Paperback","October 13, 2000"
"OL9703303M","Machine Learning: ECML 2005","769","3540292438","9783540292432","Paperback","November 14, 2005"
"OL9795911M","Artificial Intelligence and Cognitive Sciences (Proceedings in Nonlinear Science Series)","422","0471934941","9780471934943","Hardcover","March 1992"
"OL10076573M","The Artificial Intelligence Experience","183","0130480916","9780130480910","Paperback","December 1988"
"OL10237356M","ONTIC","174","0262132354","9780262132350","Hardcover","August 11, 1989"
"OL11347182M","Ender's Game","NULL","081252358X","9780812523584","Mass Market Paperback","1994 July"
"OL1472891M","Expert systems","179","1854230425","NULL","NULL","1990"
"OL14739700M","framing of artificial intelligence: a whodunit (or can computers do it?) problem (the final BYTE).","144","NULL","NULL","NULL","1989"
"OL15184398M","investigation in size reduction in neural networks","62","NULL","NULL","NULL","1989"
"OL1884133M","The emperor's new mind","466","0140145346","NULL","NULL","1991"
"OL1886131M","Analogy of automated reasoning","235","0125317158","NULL","NULL","1990"
"OL2029009M","Knowledge based systems in medicine","330","0387550119","NULL","NULL","1991"
"OL21344814M","logic of information structures","NULL","0387567348","NULL","NULL","1993"
"OL21366652M","Neural network models in artificial intelligence and cognition","180","0745806007","NULL","NULL","1989"
"OL25551946M","Sharing a Vision","NULL","NULL","9783540880646","[electronic resource] :","2009"
"OL25565127M","Artificial Intelligence for Computer Games","NULL","NULL","9781441981875","[electronic resource] /","2011"
"OL25573241M","Stability Analysis and Nonlinear Observer Design Using Takagi-Sugeno Fuzzy Models","NULL","NULL","9783642167751","[electronic resource] /","2011"
"OL2734925M","Artificial intelligence in manufacturing","325","0444701540","NULL","NULL","1987"
"OL478884M","SIRS'98","319","1901725022","NULL","NULL","1998"
"OL7409684M","Artificial Knowing","NULL","0203048040","9780203048047","NULL","1998"
"OL8975647M","Artificial Intelligence and Economic Analysis","208","185278685X","9781852786854","Hardcover","October 1992"
"OL9100912M","Artificial Intelligence","352","905199270X","9789051992700","Paperback","January 1, 1996"
"OL9650945M","Artificial Experts","280","0262531151","9780262531153","Paperback","November 13, 1992"
"OL9707292M","Activity-Centered Design","135","0262072483","9780262072489","Hardcover","March 1, 2004"
"OL10966884M","Tools With Artificial Intelligence (Ictai 2001), 13th IEEE International Conference on","410","0769514189","9780769514185","Paperback","December 2001"
"OL11327840M","Artificial Intelligence Applications for Manufacturing","200","0896710629","9780896710627","Paperback","August 1984"
"OL14909883M","Artificial paranoia","24","NULL","NULL","NULL","1976"
"OL1586674M","GWAI-90","333","0387531327","NULL","NULL","1990"
"OL18807183M","'84","336","089791144X","NULL","NULL","1984"
"OL19018546M","Learning robots","168","3540654801","NULL","NULL","1998"
"OL19902490M","Conference on applied natural language processing","198","NULL","NULL","NULL","1983"
"OL21640382M","Cognitive, emotive and ethical aspects of decision making in humans and in artificial intelligence","104","1894613953","NULL","NULL","2004"
"OL23213379M","Artificial intelligence for games","NULL","NULL","9780123747310","NULL","2009"
"OL24476995M","Intelligent medical technologies and biomedical engineering","361","1615209778","9781615209774","NULL","2010"
"OL24964256M","Minds, brains, computers","446","0631212590","9780631212591","NULL","2002"
"OL25548170M","Informatics Engineering and Information Science","NULL","NULL","9783642254529","[electronic resource] :","2011"
"OL25984372M","Philosophy And Theory Of Artificial Intelligence","NULL","NULL","9783642316739","NULL","2012"
"OL26140375M","Knowledge Representation for HealthCare
            
                Lecture Notes in Artificial Intelligence","NULL","NULL","9783642276965","NULL","2012"
"OL26297019M","El Juego de Ender","511","1435236203","9781435236202","Library Binding","2005 June"
"OL797450M","Artificial intelligence in finance & investing","246","1557388687","NULL","NULL","1996"
"OL823078M","Proceedings of 1996 IEEE International Conference on Evolutionary Computation (ICEC '96)","891","0780329023","NULL","NULL","1996"
"OL8372043M","Arguing on the Toulmin Model","439","1402049374","9781402049378","Hardcover","January 25, 2007"
"OL9056126M","Logic for Programming, Artificial Intelligence, and Reasoning","744","354030553X","9783540305538","Paperback","January 9, 2006"
"OL9063522M","Complex Motion","234","3540698647","9783540698647","Paperback","March 12, 2007"
"OL9770321M","Multi-Agent Systems and Applications IV","667","354029046X","9783540290469","Paperback","October 6, 2005"
"OL10438274M","Artificial Dreams","424","0521878675","9780521878678","Hardcover","March 31, 2008"
"OL11470958M","Neural network architectures for artificial intelligence (Tutorial)","120","0929280156","9780929280158","Paperback","1988"
"OL12317717M","Computational Models of Argument","352","1586036521","9781586036522","Hardcover","August 1, 2006"
"OL12774219M","New Frontiers in Artificial Intelligence","484","3540354700","9783540354703","Paperback","July 28, 2006"
"OL14727789M","Proceedings of the IASTED International Conference, Artificial Intelligence Application & Neural Networks","147","0889861536","NULL","NULL","1991"
"OL1544994M","Intelligent CAD, III","350","0444891722","NULL","NULL","1991"
"OL16132422M","Grasping with mechanical intelligence","NULL","NULL","NULL","Microform","1988"
"OL17727166M","Database and expert systems applications","907","3540744673","9783540744672","NULL","2007"
"OL18258249M","Formal concept analysis","308","3540322035","NULL","NULL","2006"
"OL18509725M","Advance papers of the conference.","703","NULL","NULL","NULL","1973"
"OL21878388M","Kiberneticheskie modeli poznanii︠a︡","263","NULL","NULL","NULL","1976"
"OL25544537M","Decision Procedures","NULL","NULL","9783540741046","[electronic resource] :","2008"
"OL25547396M","Articulated Motion and Deformable Objects","NULL","NULL","9783642140600","[electronic resource] :","2010"
"OL25549295M","Cooperative Control of Dynamical Systems","NULL","NULL","9781848823242","[electronic resource] :","2009"
"OL25762108M","Artificial Intelligence: Exercises II Agent Behaviour I","NULL","NULL","978-87-7681-592-9","NULL","2013"
"OL2742849M","Artificial intelligence programming for the Macintosh","290","067222447X","NULL","NULL","1986"
"OL4724353M","Artificial intelligence and pattern recognition in computer aided design","510","0444852298","NULL","NULL","1978"
"OL678332M","Tabu search","382","079239965X","NULL","NULL","1997"
"OL8336888M","Artificial Intelligence and National Defense","186","0916159132","9780916159139","Paperback","March 1987"
"OL9056473M","Software Engineering for Multi-Agent Systems IV","255","3540335803","9783540335801","Paperback","May 22, 2006"
"OL9057070M","RoboCup-99","802","3540410430","9783540410430","Paperback","October 2, 2000"
"OL9058130M","Logic for Programming, Artificial Intelligence, and Reasoning","588","3540482814","9783540482819","Paperback","November 22, 2006"
"OL9407035M","Advances in Web Intelligence","513","3540262199","9783540262190","Paperback","July 21, 2005"
"OL9887493M","Artificial Intelligence II","416","0444702059","9780444702050","Textbook Binding","July 1987"
"OL1011451M","theory of constraints","306","0824700643","NULL","NULL","1997"
"OL12775495M","Agent-Oriented Information Systems III","291","3540482911","9783540482918","Paperback","February 2, 2007"
"OL1301716M","Faut-il brûler Descartes?","269","2707120731","NULL","NULL","1991"
"OL13840712M","Artificial intelligence.","NULL","NULL","NULL","NULL","1984"
"OL1392925M","illustrated dictionary of electronics","760","0830643974","NULL","NULL","1994"
"OL17979166M","The limits of artificial intelligence.","39","NULL","NULL","NULL","1986"
"OL19291439M","Logic for programming, artificial intelligence, and reasoning","NULL","354030553X","NULL","Electronic resource","2005"
"OL2212891M","How to build a person","189","0262161133","NULL","NULL","1989"
"OL22717155M","Artificial intelligence applications in manufacturing","365","0130489271","NULL","NULL","1988"
"OL24323327M","Machina Obscura","NULL","1843190958","NULL","eBook","2003"
"OL2542222M","Legged robots that balance","233","0262181177","NULL","NULL","1986"
"OL25547843M","Fuzzy Logic and Applications","NULL","NULL","9783642237126","[electronic resource] :","2011"
"OL25553356M","Journal on Data Semantics XII","NULL","NULL","9783642006845","[electronic resource] /","2009"
"OL26457833M","El joc de l'Ender","NULL","849019596X","9788490195963","Epub","2013"
"OL2860618M","Niels Bohr, the man, his science & the world they changed","436","0262521008","NULL","NULL","1985"
"OL3182858M","The AI Business","324","0262231174","9780262231176","NULL","1984"
"OL4242074M","Knowledge-based systems","33","NULL","NULL","NULL","1980"
"OL5885375M","Computers and thought","535","NULL","NULL","NULL","1963"
"OL661612M","[Slant]","349","0312855176","NULL","NULL","1997"
"OL792064M","Integrating symbolic mathematical computation and artificial intelligence","275","3540601562","NULL","NULL","1995"
"OL8372922M","Intelligent Knowledge-Based Systems","5","1402078250","9781402078255","Hardcover","January 2005"
"OL8390478M","A Deduction Model of Belief (Research notes in artificial intelligence)","165","0934613087","9780934613088","Hardcover","January 1, 1993"
"OL8855036M","Advances in Applied Artificial Intelligence (Computational Intelligence and Its Applications) (Computational Intelligence and Its Applications)","309","1591408288","9781591408284","Paperback","March 29, 2006"
"OL9054719M","Advances in Artificial Intelligence","582","3540220046","9783540220046","Paperback","June 24, 2004"
"OL9054755M","Artificial Intelligence and Soft Computing -- ICAISC 2004","1208","3540221239","9783540221234","Paperback","July 27, 2004"
"OL9062750M","Artificial Intelligence: Methodology, Systems, and Applications","502","354064993X","9783540649939","Paperback","October 1, 1998"
"OL10896962M","Lingo","272","0759202184","9780759202184","Paperback","February 2001"
"OL10966489M","11th IEEE International Conference on Tools With Artificial Intelligence","500","0769504566","9780769504568","Paperback","June 1999"
"OL12810184M","Modeling Decisions","284","3540687890","9783540687894","Hardcover","June 11, 2007"
"OL13840878M","artificial intelligence experience","NULL","NULL","NULL","NULL","1985"
"OL14451840M","1993 Goddard Conference on Space Applications of Artificial Intelligence","NULL","NULL","NULL","Microform","1993"
"OL1467127M","Artificial intelligence in the humanities","55","0772789002","NULL","NULL","1989"
"OL15303388M","Network structures for distributed situation assessment","39","NULL","NULL","NULL","1980"
"OL16585574M","Computational introspection","68","NULL","NULL","NULL","1983"
"OL17045639M","In our image","135","0800634764","NULL","NULL","2002"
"OL17935910M","New frontiers in artificial intelligence","548","3540710086","9783540710080","NULL","2007"
"OL19535822M","Scandinavian Conference on Artificial Intelligence 89","960","9051990170","NULL","NULL","1989"
"OL2099796M","Begründungsverwaltung","153","0387188533","NULL","NULL","1988"
"OL22540352M","Advances in artificial intelligence","642","3540403000","NULL","NULL","2003"
"OL22827451M","Artificial intelligence III","444","0444705082","NULL","NULL","1988"
"OL2539425M","Mind over machine","231","0029080606","NULL","Hardcover","1986"
"OL25546164M","Advances in Applied Economics, Business and Development","NULL","NULL","9783642230196","[electronic resource] :","2011"
"OL25547826M","Neural Information Processing","NULL","NULL","9783642249549","[electronic resource] :","2011"
"OL25548001M","Foundations on Natural and Artificial Computation","NULL","NULL","9783642213434","[electronic resource] :","2011"
"OL25554840M","Multi-Objective Swarm Intelligent Systems","NULL","NULL","9783642051647","[electronic resource] :","2010"
"OL25562881M","Biometrics and ID Management","NULL","NULL","9783642195297","[electronic resource] :","2011"
"OL2737894M","Formal methods in artificial intelligence","205","0470208260","NULL","NULL","1987"
"OL3573879M","AI techniques for game programming","448","193184108X","NULL","NULL","2002"
"OL7278123M","Prey","NULL","0060536969","9780060536961","NULL","November 25, 2002"
"OL758366M","Knowledge management","307","3932004264","NULL","NULL","1996"
"OL8910754M","La stratégie Ender","382","2290308285","9782290308288","Mass Market Paperback","2001 June 25"
"OL8920137M","Halo","352","1841494224","9781841494227","Paperback","February 7, 2005"
"OL9508084M","A General Explanation-based Learning Mechanism and Its Application (Research Notes in Artificial Intelligence)","240","0273088157","9780273088158","Paperback","November 1989"
"OL9687541M","Slant","NULL","0613175158","9780613175159","Library Binding","October 1999"
"OL12317545M","Integrated Natural Language Generation With Schema-Tags (Dissertations in Artificial Intelligence)","178","1586033549","9781586033545","Paperback","July 2003"
"OL14841765M","IJCAI-79","609","NULL","NULL","NULL","1979"
"OL1550699M","Artificial morality","240","0415034841","NULL","NULL","1992"
"OL18141722M","Advances in robot learning","164","3540411623","NULL","NULL","2000"
"OL18240438M","Explanation-based generalization of partially ordered plans","NULL","NULL","NULL","Microform","1991"
"OL1955058M","Graphik und KI","125","0387525033","NULL","NULL","1990"
"OL2194595M","The age of intelligent machines","565","0262111217","NULL","Hardcover","1990"
"OL22771254M","Artificial intelligence","222","0317269909","NULL","NULL","1986"
"OL23155589M","Artificial intelligence, automated reasoning, and symbolic computation","341","3540438653","NULL","NULL","2002"
"OL23735192M","Hybrid artificial intelligence systems","767","3540876553","9783540876557","NULL","2008"
"OL24061739M","Donald Michie on machine intelligence, biology and more","321","0199573042","9780199573042","NULL","2009"
"OL25060438M","Knowledge representation for health-care","194","3642118070","9783642118074","NULL","2010"
"OL25138072M","PRICAI 2010","715","3642152457","9783642152450","NULL","2010"
"OL25296860M","Artificial intelligence applications and innovations","404","364216238X","9783642162381","NULL","2010"
"OL25559947M","Logistics and supply chain management with artificial intelligence techniques","NULL","1845440463","NULL","[electronic resource] /","2004"
"OL25565683M","Computer Vision and Graphics","NULL","NULL","9783642023446","[electronic resource] :","2009"
"OL2713835M","Intelligent decision support in process environments","524","0387139222","NULL","NULL","1986"
"OL3023577M","Understanding computers and cognition","207","0893910503","NULL","NULL","1986"
"OL7629779M","Fundamentals of Artificial Intelligence - Lisp","542","0669194735","9780669194739","NULL","January 1, 1992"
"OL794305M","pleadings game","245","0792336070","NULL","NULL","1995"
"OL8053652M","Ghosts of Onyx (Halo)","384","0765315688","9780765315687","Paperback","October 31, 2006"
"OL821722M","SCAI-95","484","9051992211","NULL","NULL","1995"
"OL9062688M","Assistive Technology and Artificial Intelligence","273","3540647902","9783540647904","Paperback","September 2, 1998"
"OL9063038M","Conceptual Structures: Standards and Practices","515","3540662235","9783540662235","Paperback","July 30, 1999"
"OL9266138M","Artificial Intelligence","500","008031130X","9780080311302","Hardcover","September 1984"
"OL9464844M","Learning Theory","648","3540222820","9783540222828","Paperback","August 5, 2004"
"OL9531463M","Artificial Intelligence (21st Century Debates)","NULL","0613922565","9780613922562","Hardcover","February 2003"
"OL9580672M","Advances in Computer Games","273","3540488871","9783540488873","Paperback","January 19, 2007"
"OL9701646M","Multidisciplinary Research in Control","229","3540009175","9783540009177","Paperback","July 15, 2003"
"OL10237026M","AI in the 1980s and Beyond","385","0262071061","9780262071062","Hardcover","July 9, 1987"
"OL10238489M","From Animals to Animats 5","650","0262661446","9780262661447","Paperback","August 28, 1998"
"OL1429479M","Artificial intelligence and the sociology of knowledge","176","3631465955","NULL","NULL","1993"
"OL14926528M","Computational aerodynamics and artificial intelligence","NULL","NULL","NULL","Microform","1984"
"OL15394643M","Measuring the performance and intelligence of systems","467","NULL","NULL","Microform","2002"
"OL16506924M","Applications and Innovations in Intelligent Systems XV","350","1848000855","9781848000858","NULL","2008"
"OL17006830M","Innovations in hybrid intelligent systems","497","3540749713","9783540749714","NULL","2007"
"OL17903027M","Decidable reasoning in first-order knowledge bases with perfect introspection","20","NULL","NULL","NULL","1990"
"OL18187352M","Multi-agent systems and application III","660","3540404503","NULL","NULL","2003"
"OL2045939M","On being a machine","NULL","0853129576","NULL","NULL","1988"
"OL22637739M","Formalizing common sense","NULL","0893915351","NULL","NULL","1989"
"OL2384667M","connectionist machine for genetic hillclimbing","260","089838236X","NULL","NULL","1987"
"OL25313849M","Ontologies and semantic technologies for intelligence","227","1607505800","9781607505808","NULL","2010"
"OL25498492M","Field computation and nonpropositional knowledge","34","NULL","NULL","NULL","1987"
"OL25508577M","Pattern recognition as knowledge-guided computer induction","41","NULL","NULL","NULL","1978"
"OL25551719M","CONCUR 2010 - Concurrency Theory","NULL","NULL","9783642153747","[electronic resource] :","2011"
"OL25579788M","Verification, Induction, Termination Analysis","NULL","NULL","9783642171710","[electronic resource] :","2010"
"OL2710275M","mathematics of inheritance systems","220","0934613060","NULL","NULL","1986"
"OL2862323M","Artificial intelligence, the search for the perfect machine","177","081046327X","NULL","NULL","1985"
"OL379769M","Progress in artificial intelligence","420","3540649921","NULL","NULL","1998"
"OL6899651M","Intelligent systems","212","1880843285","NULL","NULL","1999"
"OL7326121M","Pattern Recognition and Artificial Intelligence","630","0121709507","9780121709501","NULL","February 1977"
"OL8362777M","The Immortal Game","352","1400034086","9781400034086","Paperback","October 2, 2007"
"OL9058040M","Accessing Multilingual Information Repositories","1013","354045697X","9783540456971","Paperback","November 13, 2006"
"OL932098M","Advances in artificial intelligence","342","3540604367","NULL","NULL","1995"
"OL9509078M","Database and Expert Systems Applications","1005","3540679782","9783540679783","Paperback","October 2, 2000"
"OL9731181M","Terminator #3","NULL","1559279117","9781559279116","Audio CD","June 2003"
"OL997796M","Foundational issues in artificial intelligence and cognitive science","384","0444825207","NULL","NULL","1996"
"OL1105707M","Computational phonology","203","0521474965","NULL","NULL","1995"
"OL11389396M","Third International Conference on Tools for Artificial Intelligence Tai '91 November 5-8, 1991 San Jose, California","568","0818623004","9780818623004","Paperback","December 1991"
"OL12807226M","Advances in Information Modelling and Knowledge Bases (Frontiers in Artificial Intelligence and Applications Ser)","300","905199043X","9789051990430","Paperback","June 1990"
"OL14117657M","Rudiments of real-world theory of man-computer problem solving.","32","NULL","NULL","NULL","1974"
"OL15368744M","MATE: the Multi-Agent Test Environment","NULL","NULL","NULL","Microform","1992"
"OL1877671M","Incremental version-space merging","115","0792391195","NULL","NULL","1990"
"OL20120535M","Artificial intelligence/expert systems in manufacturing","NULL","0852964986","NULL","NULL","1991"
"OL20325206M","Computer aided neuroradiology","604","NULL","NULL","NULL","1987"
"OL20531814M","Bibliography on the application of expert systems, knowledge-based systems, artificial intelligenceand natural language processing in the library and information sciences, 1978-1992.","NULL","NULL","NULL","NULL","1991"
"OL21463899M","IUI 02","246","1581134592","NULL","NULL","2002"
"OL2220920M","mathematical foundations of learning machines","138","1558601236","NULL","NULL","1990"
"OL2384305M","Automated reasoning","319","013054552X","NULL","NULL","1988"
"OL24033824M","Robots and artificial intelligence","NULL","NULL","9781599205694","NULL","2011"
"OL24673765M","Third Conference on Artificial Intelligence for Space Applications, Part I","462","NULL","NULL","NULL","1987"
"OL24823142M","Artificial intelligence","NULL","NULL","9781420503845","NULL","2011"
"OL25101441M","Artificial intelligence","183","NULL","9780415564823","NULL","2012"
"OL25307016M","Cognitive communications","NULL","NULL","9781119951506","NULL","2012"
"OL26144012M","Advanced Data Mining and Applications
            
                Lecture Notes in Artificial Intelligence","NULL","NULL","9783642033476","NULL","2009"
"OL2726064M","Automated analysis of legal texts","938","0444701117","NULL","NULL","1986"
"OL2862649M","Heuristic reasoning about uncertainty","204","0273086677","NULL","NULL","1985"
"OL661173M","Artificial intelligence in medicine","526","354062709X","NULL","NULL","1997"
"OL8377859M","Artificial Intelligence Applications in Materials Science","220","0873390679","9780873390675","Hardcover","September 1987"
"OL9053628M","Topics in Artificial Intelligence","438","3540000119","9783540000112","Paperback","December 5, 2002"
"OL9056498M","Computer Vision -- ECCV 2006","613","3540338381","9783540338383","Paperback","June 15, 2006"
"OL16927170M","Brain-like computing and intelligent information systems","533","9813083581","NULL","NULL","1997"
"OL17326541M","On the difference between updating a knowledge database and revising it","21","NULL","NULL","NULL","1990"
"OL20764174M","AI*IA 99","392","3540673504","NULL","NULL","2000"
"OL2226213M","Artificial intelligence in databases and information systems (DS-3)","583","0444886451","NULL","NULL","1990"
"OL22470763M","investigation of the use of artificial intelligence techniques in modelling the reading and writing of a dyslexic person","NULL","NULL","NULL","NULL","1998"
"OL22643882M","Advanced topics in artificial intelligence","516","3540637974","NULL","NULL","1997"
"OL25032836M","Brother in a box","NULL","NULL","9781442426580","NULL","2012"
"OL25538877M","Fuzzy Networks for Complex Systems","NULL","NULL","9783642155994","[electronic resource] :","2010"
"OL25550031M","Case-Based Reasoning Research and Development","NULL","NULL","9783642029974","[electronic resource] :","2009"
"OL25552891M","Advanced intelligent environments","290","0387764844","9780387764856","NULL","2009"
"OL25552994M","Distributed Autonomous Robotic Systems 8","NULL","NULL","9783642006432","[electronic resource] /","2009"
"OL26567777M","Infinity Engine","NULL","NULL","9780330524636","Paperback","2017"
"OL3187205M","Into the heart of the mind","209","0060153067","NULL","NULL","1984"
"OL4051941M","Raisonnement scientifique et sa mécanisation","85","NULL","NULL","NULL","1969"
"OL4212199M","Természetes és mesterséges értelem","147","9632710886","NULL","NULL","1979"
"OL675171M","Emergence","258","0201149435","NULL","NULL","1998"
"OL692033M","Advanced topics in artificial intelligence","516","3540637974","NULL","NULL","1997"
"OL7454365M","The Man Who Knew Too Much","336","0393329097","9780393329094","NULL","November 20, 2006"
"OL7693069M","Mind Children","224","0674576187","9780674576186","Paperback","January 2, 1990"
"OL1410025M","Associative engines","252","0262032104","NULL","NULL","1993"
"OL1412658M","Constraint-based reasoning","403","0262560755","NULL","NULL","1994"
"OL1544885M","VLSI for artificial intelligence and neural networks","412","0306440296","NULL","NULL","1991"
"OL1574006M","First International Conference on Artificial Intelligence Applications on Wall Street","327","0818622407","NULL","NULL","1991"
"OL16419155M","2006 IEEE International Conference on engineering of intelligent systems","531","1424404568","NULL","NULL","2006"
"OL16928097M","Encyclopedia of artificial intelligence","NULL","NULL","9781599048499","NULL","2008"
"OL17107716M","An intelligent position-specific training system for missions operations","NULL","NULL","NULL","Microform","1992"
"OL21378492M","What is on the machine's mind? Models for reasoning with incomplete and uncertain knowledge","135","NULL","NULL","NULL","1991"
"OL21520051M","What computers can't do","259","0060110821","NULL","NULL","1972"
"OL2152827M","Learning strategic concepts in competitive planning","36","NULL","NULL","NULL","1988"
"OL21573583M","Evolutionary computation","270","078035379X","NULL","NULL","2000"
"OL2200133M","An introduction to default logic","208","0387515666","NULL","NULL","1989"
"OL22839875M","Artificial intelligence II","403","0444702059","NULL","NULL","1987"
"OL23158836M","Proceedings of the Ninth International Conference on the Application of Artificial Intelligence to Civil, Structural and Environmental Engineering","NULL","NULL","9781905088188","NULL","2007"
"OL24251118M","Smart Environments","NULL","NULL","9780471686583","Electronic resource","2004"
"OL2538838M","artificial intelligence approach to VLSI routing","159","089838205X","NULL","NULL","1986"
"OL25545498M","Future Information Technology","NULL","NULL","9783642223327","[electronic resource] :","2011"
"OL25549847M","Soft Computing for Intelligent Control and Mobile Robotics","NULL","NULL","9783642155338","[electronic resource] /","2011"
"OL3177232M","Artificial intelligence","527","0201082594","NULL","NULL","1984"
"OL468655M","Fourth Golden West Conference on Intelligent Systems, San Francisco, California U.S.A., June 12-14, 1995","293","1880843129","NULL","NULL","1995"
"OL7480844M","Artificial Intelligence","220","0415002893","9780415002899","NULL","July 1988"
"OL7533706M","Artificial Intelligence and Computer Vision","504","0444891269","9780444891266","NULL","June 1991"
"OL9510022M","Artificial Immune Systems","500","3540281754","9783540281757","Paperback","September 19, 2005"
"OL9878647M","Recent Advances in Design and Decision Support Systems in Architecture and Urban Planning","358","1402024088","9781402024085","Hardcover","July 20, 2004"
"OL10335841M","Thinking on the Web","316","0471768669","9780471768661","Paperback","January 30, 2008"
"OL13341742M","Combining Human and Artificial Intelligence","NULL","9995675889","9789995675882","Paperback","March 1985"
"OL1596391M","New computing techniques in physics research","665","2222045142","NULL","NULL","1990"
"OL18288200M","Pattern recognition and image analysis","NULL","3540728465","9783540728467","NULL","2007"
"OL19208832M","ingénierie de la connaissance","399","2913322735","NULL","NULL","2000"
"OL1942112M","Modelirane i simulirane na choveshkata pamet ""MNEMO'89""","133","NULL","NULL","NULL","1989"
"OL20906088M","12th IEEE Symposium on Computer-Based Medical Systems","309","0780357647","NULL","NULL","1999"
"OL21424503M","NeuralSource","1014","0442237766","NULL","NULL","1990"
"OL21437208M","Evolution, games and learning","402","0444870318","NULL","NULL","1986"
"OL24013944M","Robots and artificial intelligence","NULL","NULL","9781599205694","NULL","2011"
"OL24298525M","Natural-Born Cyborgs","NULL","NULL","9780198033929","eBook","2007"
"OL25170022M","Rough set and knowledge technology","781","3642162479","9783642162473","NULL","2010"
"OL25370877M","Artificial intelligence research and development","344","1607506424","9781607506423","NULL","2010"
"OL25556794M","Advances in Practical Multi-Agent Systems","NULL","NULL","9783642160974","[electronic resource] /","2011"
"OL25573816M","Zur Konstruktion ku nstlicher Gehirne","391","3642001912","9783642001918","[electronic resource] /","2009"
"OL26137015M","Intelligent Information and Database Systems
            
                Lecture Notes in Artificial Intelligence","NULL","NULL","9783642284861","NULL","2012"
"OL3171156M","Matter and consciousness","164","0262031035","NULL","NULL","1984"
"OL3687220M","Machines who think","565","1568812051","NULL","NULL","2004"
"OL9783874M","Computer Vision - ECCV 2004","621","3540219811","9783540219811","Paperback","June 14, 2004"
"OL9885855M","Evolution of Information","212","1855671840","9781855671843","Paperback","September 1993"
"OL14842469M","Microcomputer based EEG analysis using artificial intelligence methods","NULL","NULL","NULL","NULL","1987"
"OL15345262M","autonomous land vehicle","127","NULL","NULL","NULL","1986"
"OL17352985M","Onthe road to artificial intelligence","102","1850140642","NULL","NULL","1984"
"OL17457378M","Explorations of constructive approaches to Artificial Neural Network Design","158","NULL","NULL","NULL","1997"
"OL17684343M","An analysis of the application of AI to the development of intelligent aids for flight crew tasks","NULL","NULL","NULL","Microform","1985"
"OL17788744M","Communications and control for electric power systems","NULL","NULL","NULL","Microform","1994"
"OL17859400M","Rudiments of real-world theory of man-computer problem solving.","32","NULL","NULL","NULL","1974"
"OL17972866M","Programmiermethoden der künstlichen Intelligenz","NULL","3540194185","NULL","NULL","1988"
"OL18007530M","Heuristic programming in artificial intelligence 3","280","0133882659","NULL","NULL","1992"
"OL18009468M","Uncertainty in artificial intelligence","444","1558602038","NULL","NULL","1991"
