"id","name"
"0","NULL"
"1","The MIT Press"
"2","Springer"
"3","John Wiley & Sons Inc"
"4","ACM Press"
"5","Marcel Dekker"
"6","IOS Press"
"7","Elsevier"
"8","William Kaufmann, Inc. for International Joint Conferences on Artificial Intelligence, Inc."
"9","Dept. of Electrical Engineering, Vanderbilt University"
"10","FrancoAngeli"
"11","Pitman"
"12","Intellect"
"13","Association for Computing Machinery"
"14","Contemporary Books"
"15","Springer-Verlag Berlin Heidelberg"
"16","Springer-Verlag GmbH Berlin Heidelberg"
"17","Blackwell"
"18","Oxford University Press"
"19","IK"
"20","Touchstone Books"
"21","Wiley-IEEE Press"
"22","Ablex Pub"
"23","John Wiley & Sons"
"24","Prentice Hall"
"25","Tor Books"
"26","IFS"
"27","Penguin Books"
"28","Academic Press"
"29","Springer-Verlag"
"30","Ellis Horwood"
"31","Springer Berlin Heidelberg"
"32","Springer Science+Business Media, LLC"
"33","North-Holland"
"34","University of Edinburgh, Department of Artificial Intelligence"
"35","Routledge 1/3/1998"
"36","Edward Elgar Publishing"
"37","Ios Pr Inc"
"38","Ieee"
"39","Not Avail"
"40","U.S. Dept. of Health, Education, and Welfare, Public Health Service, Alcohol, Drug Abuse, and Mental Health Administration, National Institute of Mental Health, Division of Scientific and Public Information, Mental Health Studies and Reports Branch"
"41","The Association"
"42","International Institute for Advanced Studies in Systems Research and Cybernetics"
"43","Elsevier Morgan Kaufmann"
"44","Medical Information Science Reference"
"45","Blackwell Publishers"
"46","byblos / Paw Prints"
"47","Irwin Professional Publishing"
"48","Institute of Electrical and Electronics Engineers"
"49","Cambridge University Press"
"50","American Association for Artificial Intelligence"
"51","Acta Press"
"52","University of Pennsylvania, School of Engineering and Applied Science, Dept. of Computer and Information Science"
"53","Stanford Research Institute]"
"54","Zinatne"
"55","Springer-Verlg Berlin Heidelberg"
"56","Springer London"
"57","Bookboon.com"
"58","H.W. Sams"
"59","North-Holland Pub. Co."
"60","Kluwer Academic Publishers"
"61","Afcea Intl Pr"
"62","Elsevier Science"
"63","La Découverte"
"64","University of Edinburgh Department of Artificial Intelligence"
"65","Tab Books"
"66","Courant Institute of Mathematical Sciences, New York University"
"67","MIT Press"
"68","S.E.A.I. Technical"
"69","Mushroom Publishing"
"70","B de Books"
"71","Dept. of Computer Science, University of Illinois at Urbana-Champaign"
"72","McGraw-Hill"
"73","Tor"
"74","Morgan Kaufmann Publishers Inc,US"
"75","Idea Group Publishing"
"76","eReads.com"
"77","Institute of Electrical & Electronics Enginee"
"78","Digital Equipment Corporation"
"79","National Aeronautics and Space Administration, Office of Management, Scientific and Technical Information Program"
"80","Dept. of French, University of Toronto"
"81","Rand"
"82","Massachusetts Institute of Technology, Artificial Intelligence Laboratory"
"83","Fortress Press"
"84","IOS"
"85","Free Press"
"86","Wiley"
"87","Premier Press"
"88","HarperAudio"
"89","ERGON"
"90","J'ai lu"
"91","Orbit"
"92","Financial Times Prentice Hall"
"93","Bt Bound"
"94","W. Kauffmann]"
"95","Routledge"
"96","NASA Ames Research Center"
"97","Gordon and Breach"
"98","Emerald Group Publishing"
"99","Published in cooperation with NATO Scientific Affairs Division [by] Springer-Verlag"
"100","Ablex Pub. Corp."
"101","Jones & Bartlett Publishers"
"102","Pergamon Pr"
"103","Rebound by Sagebrush"
"104","P. Lang"
"105","National Aeronautics and Space Administration, Ames Research Center"
"106","U.S. Dept. of Commerce, Technology Administration, National Institute of Standards and Technology"
"107","University of Toronto, Computer Science Dept."
"108","E. Horwood"
"109","Ablex Pub. Corp"
"110","Naval Postgraduate School"
"111","Hayden Book Co."
"112","ISCA"
"113","Academic Press Inc.,U.S."
"114","Anchor"
"115","Audio Renaissance"
"116","IEEE Computer Society Press"
"117","Calif., Rand"
"118","NASA, Ames Research Center, Artificial Intelligence Research Branch"
"119","Institution of Electrical Engineers, Technical Information Unit"
"120","CIC Edizioni internazionali"
"121","Taylor Graham"
"122","Morgan Kaufmann"
"123","Prentice-Hall"
"124","Smart Apple Media"
"125","NASA, Scientific and Technical Information Branch"
"126","Lucent Books"
"127","Pitman Advanced Pub. Program"
"128","Tms"
"129","Computer Science Dept., University of Toronto"
"130","UMIST"
"131","Atheneum Books for Young Readers"
"132","Pan Books"
"133","Harper & Row"
"134","Dunod"
"135","Magvető"
"136","Addison-Wesley"
"137","Springer Verlag"
"138","W. W. Norton"
"139","Harvard University Press"
"140","Plenum Press"
"141","IEEE Press"
"142","Information Science Reference"
"143","National Aeronautics and Space Administration, George C. Marshall Space Flight Center"
"144","National Aerospace Laboratory"
"145","North-Holland for the Association pour la promotion de l'Informatique avancée"
"146","Civil-Comp Press"
"147","John Wiley & Sons, Ltd."
"148","International Society for Computers and Their Applications (ISCA)"
"149","Report Store"
"150","Editions du Centre national de la recherche scientifique"
"151","Presses universitaires franc-comtoises"
"152","Tekhnologichen in-t po zapameti͡avashti ustroĭstva na magnitni diskove pri Dŭrzhavna firma ""DZU""--St. Zagora, Sekt͡sii͡a Mnemologii͡a i bionichen izkustven intelekt--TIZUMD"
"153","Van Nostrand Reinhold"
"154","A.K. Peters"
"155","Pinter Pub Ltd"
"156","University Microfilms International"
"157","U.S. Army Engineer Topographic Laboratories"
"158","Shiva"
"159","University College Dublin"
"160","National Aeronautics and Space Administration, Scientific and Technical Information Branch"
"161","National Aeronautics and Space Administration, Jet Propulsion Laboratory, California Institute of Technology"
"162","Morgan Kaufmann Pub."
"163","Trinity College, Department of Computer Science"
"164","Syracuse University"
"165","Research Studies Press"
"166","W.W. Norton & Company"
"167","Sunshine"
"168","AST"
"169","Appleton & Lange"
"170","Copper Beech Books"
"171","Arrow Books"
"172","IEEE"
"173","Goddard Space Flight Center"
"174","Addison-Wesley Pub. Co."
"175","Springer US"
"176","Macmillan"
"177","Droemer Knaur"
"178","Collins"
"179","Acta Pr"
"180","S E A I Technical Publications"
"181","Florida A I Research Symposium"
"182","""Nauka,"" Glav. red. fiziko-matematicheskoĭ lit-ry"
"183","AAAI Press"
"184","Enslow"
"185","Bantam Books"
"186","Thames & Hudson"
"187","Titan Books (UK)"
"188","Simon & Schuster"
"189","Viking Adult"
"190","McGraw-Hill/TAB Electronics"
"191","Campus Verlag"
"192","typescript"
"193","National Aeronautics and Space Administration, Glenn Research Center"
"194","Information Sciences Institute"
"195","In-t kibernetiki im. V.M. Glushkova AN USSR"
"196","Society for Computer Simulation"
"197","Scientific DataLink"
"198","Tata McGraw-Hill"
"199","Bantam"
"200","Ablex Pub."
"201","Ablex Publishing Corporation"
"202","HarperCollins"
"203","American Water Works Research Foundation"
"204","National Technical Information Service, United States Department of Commerce"
"205","National Aeronautics and Space Administration, Jet Propulsion Laboratory"
"206","Millennium"
"207","IEEE Computer Society"
"208","EC2"
"209","Chapman and Hall"
"210","Prenticew-Hall"
"211","Academic Press/Elsevier"
"212","Markus Wiener Pub"
"213","Wildside Press"
"214","World Scientific Publishing Company"
"215","Turtleback Books Distributed by Demco Media"
"216","AFCET"
"217","ACM"
"218","Weidenfeld & Nicolson"
"219","Vintage"
"220","IJCAII"
"221","University of London"
"222","John Benjamins Pub. Co."
"223","IEEE Systems, Man, and Cybernetics Society"
"224","s.n."
"225","""Myslʹ"""
"226","Akademii͡a︡ nauk Ukr. SSR, In-t kibernetiki"
"227","W.H. Freeman & Company"
"228","IVMiMG SO RAN"
"229","National Aeronautics and Space Administration, Office of Management, Scientific and Technical Information Division"
"230","Institut for kommunikation, AUC"
"231","Vance Bibliographies"
"232","Computer Science Department, University of Toronto"
"233","MIT  Press"
"234","Course Technology, Cengage Learning"
"235","Glenlake Pub. Co."
"236","Basic Books"
"237","Farrar, Straus, Giroux"
"238","JAI Press"
"239","Ace Books"
"240","Published for the International Federation of Automatic Control by Pergamon"
"241","ACM Special Interest Group on Artificial Intelligence"
"242","Thorndike Press"
"243","Taylor & Francis"
"244","Edinburgh University Press"
"245","Nauch. sovet po kompleksnoĭ probleme ""Kibernetika,"""
"246","University of Notre Dame Press"
"247","Berkley"
"248","Netrologic"
"249","Wissenschaftlicher Verlag"
"250","National Aeronautics and Space Administration"
"251","Macmillan London"
"252","World Scientific"
"253","Center for the Study of Language and Information"
"254","Farassan"
"255","Ediciones B"
"256","Waterbrook Press"
"257","Routledge 1/7/1999"
"258","Fantastic Audio"
"259","Pagus"
"260","Morgan Kaufmann Publishers"
"261","Langley Research Center"
"262","University of Birmingham"
"263","Canadian Information Processing Society"
"264","Ellis Horwood Ltd"
"265","Professional Engineering"
"266","Chapman & Hall"
"267","Spartan Books"
"268","Fizmatlit"
"269","Harriman House"
"270","Springer-Verlag New York Inc."
"271","Hodder & Stoughton"
"272","Computational Mechanics"
"273","Morgan Kaufmann Pub"
"274","ATOM"
"275","McGraw-Hill libri Italia"
"276","TANO"
"277","Future Technology Surveys"
"278","Gordon and Breach Publishers"
"279","InterVarsity Press"
"280","ereads.com"
"281","Springer-Verlag / Kempston, Bedford, UK"
"282","Asian Books Pvt. Ltd."
"283","Energy Technology Branch, CANMET"
"284","Kluwer Academic/Plenum Publishers"
"285","AFCEA International Press"
"286","Akademii͡a︡ nauk SSSR, In-t nauch. informat͡s︡ii po obshchestvennym naukam"
"287","Presses universitaires de Grenoble"
"288","Artech House"
"289","Infix"
"290","Oxford Brookes University"
"291","Voyager"
"292","M. Wiener Publishers"
"293","Simon and Schuster"
"294","L. Erlbaum Associates"
"295","Nauka"
"296","Benjamin-Cummings Publishing Company, Subs of Addison Wesley Longman, Inc"
"297","SEAI Technical Publications"
"298","National Aeronautics and Space Administration, Lyndon B. Johnson Space Center"
"299","AAAI Press/The MIT Press"
"300","Acropolis Books"
"301","Birkhäuser"
"302","International Joint Conferences on Artificial Intelligence, Inc."
"303","J. Cape"
"304","ISTE"
"305","G. Giappichelli"
"306","Hanser"
"307","Herder and Herder"
"308","Morgan & Claypool Publishers"
"309","Kovač"
"310","Yale University Press"
"311","s.n.]"
"312","QED Information Sciences"
"313","Ace"
"314","HeurisTech Press"
"315","A R Publications"
"316","Mcgraw-Hill College"
"317","Canadian Workplace Automation Research Centre"
"318","Routledge & Kegan Paul"
"319","Warwick Press"
"320","Anchor Books"
"321","Deutsches Forschungszentrum für Künstliche Intelligenz"
"322","Century Pub."
"323","TSI Press"
"324","Willey-Interscience"
"325","Texas Instruments"
"326","IFIP International Federation for Information Processing"
"327","Greenwood Press"
"328","Lawrence Erlbaum"
"329","Del Rey"
"330","Metropolis-Verlag"
"331","North Oxford Academic"
"332","National Aeronautics and Space Administration, Langley Research Center"
"333","Physica-Verlag"
"334","Hannacroix Creek Books"
"335","U.S. Dept. of Commerce, National Bureau of Standards : for sale by the Supt. of Docs., U.S. Govt. Print. Off."
"336","Random House Value Publishing"
"337","Avon"
"338","Wisu"
"339","Rand Corporation"
"340","Computer Society Press of the IEEE"
"341","Advisory Group for Aerospace Research & Development"
"342","CSLI/SRI International"
"343","Erlbaum"
"344","Jones and Bartlett Publishers"
"345","Азбука"
"346","M. Kaufmann Publishers"
"347","Universitetet"
"348","Feltrinelli"
"349","St. Martin's Press"
"350","Washington"
"351","Armstrong Laboratory, Air Force Systems Command"
"352","Dept. of Electrical and Electronic Engineering, Oita University"
"353","Lightning Source Inc"
"354","Weidenfeld and Nicolson"
"355","Zanichelli"
"356","Wiley-Interscience"
"357","Edwin Mellen Pr"
"358","University of Edinburgh, Department of Business Studies"
"359","Lyndon B. Johnson Space Center"
"360","Presses de l'Université du Québec"
"361","Open University Press"
"362","Nova Science Publishers"
"363","McGraw-Hill Education"
"364","Computational Mechanics Publications"
"365","Institute of Electrical and Electronics Engineers, Inc."
"366","Published for the International Federation of Automatic Control by Pergamon Press"
"367","XPrime"
"368","Taylor and Francis"
"369","Houghton Mifflin Harcourt"
