"id","subject"
"1","A Priori Knowledge"
"2","A. I. artificial intelligence (Motion picture)"
"3","A.I."
"4","A.I. Artificial Intelligence"
"5","AI"
"6","AI Artificial Intelligence Turing Kunstmatige Intelligentie"
"7","AI Planning (Artificial Intelligence)"
"8","AI source code"
"9","AQVAL/1 (AQ7)"
"10","ARTIFICIAL INTELLIGENCE"
"11","Abduction (Logic)"
"12","Abfragesprache"
"13","Abfrageverarbeitung"
"14","Abstracting and indexing"
"15","Abstraction"
"16","Academic Dissertations"
"17","Accessible Book"
"18","Accessible book"
"19","Accounting"
"20","Acorn Electron"
"21","Acoustooptical devices"
"22","Acquisition des connaissances (Systèmes experts)"
"23","Action & Adventure"
"24","Action theory"
"25","Active control"
"26","Actresses"
"27","Actuators"
"28","Ada (Computer program language)"
"29","Ada (Programming language)"
"30","Adams"
"31","Adaptability (Psychology)"
"32","Adaptation"
"33","Adaptation (Biology)"
"34","Adaptive computing systems"
"35","Adaptive control systems"
"36","Addresses, essays, lectures"
"37","Administrative agencies"
"38","Administrative agencies in fiction"
"39","Adult Education"
"40","Adventure and adventurers"
"41","Adventure fiction"
"42","Adventure stories"
"43","Aerodynamics"
"44","Aeronautics"
"45","Aerospace engineering"
"46","Aerospace safety"
"47","Aerospace sciences"
"48","Aesthetics"
"49","Affect (Psychology)"
"50","Agent (Philosophy)"
"51","Agent <Informatik>"
"52","Agentia"
"53","Aggregationsoperator"
"54","Agricultural applications"
"55","Agricultural machinery"
"56","Agriculture"
"57","Air pilots"
"58","Air traffic control"
"59","Airplanes"
"60","Akkadian Literature"
"61","Algebra"
"62","Algebraic logic"
"63","Algebraic topology -- Applied homological algebra and category theory -- Abstract complexes"
"64","Algebraic topology -- Explicit machine computation and programs (not the theory of computation or programming)"
"65","Algebraic topology -- Homology and cohomology theories -- Other homology theories"
"66","Algebraic topology -- Homology and cohomology theories -- Sheaf cohomology"
"67","Algorithm Analysis and Problem Complexity"
"68","Algorithmes"
"69","Algorithmische Lerntheorie"
"70","Algorithms"
"71","Ambient Intelligence AmI (in )"
"72","American Authors"
"73","American Novelists"
"74","American Science fiction"
"75","American Steampunk fiction"
"76","American fiction"
"77","Amerikanisches Englisch"
"78","Ames Research Center"
"79","Ames Research Center. Artificial Intelligence Research Branch"
"80","Amstrad CPC series (Computers)"
"81","Amstrad CPC464 (Computer)"
