"workid","subjectid"
"OL11590206W","479"
"OL11590206W","133"
"OL12925168W","133"
"OL12925168W","457"
"OL12925168W","461"
"OL12925168W","829"
"OL12925168W","1612"
"OL12925168W","1927"
"OL12925168W","1930"
"OL12925168W","2151"
"OL13501880W","479"
"OL13501880W","1642"
"OL13501880W","133"
"OL13501880W","540"
"OL13622961W","756"
"OL13622961W","424"
"OL13622961W","133"
"OL13622961W","1710"
"OL15414252W","1299"
"OL15414252W","446"
"OL15414252W","148"
"OL15414252W","2244"
"OL15414252W","2239"
"OL15414252W","2146"
"OL15414252W","2243"
"OL15414252W","127"
"OL16243257W","1066"
"OL16243257W","479"
"OL16243257W","1417"
"OL16243257W","133"
"OL16931792W","426"
"OL16931792W","539"
"OL16931792W","133"
"OL16931792W","1014"
"OL16932854W","133"
"OL16932854W","437"
"OL16932854W","430"
"OL16932854W","540"
"OL16932854W","1941"
"OL17111812W","2393"
"OL17111812W","2408"
"OL17111812W","841"
"OL17111812W","2345"
"OL17111812W","2156"
"OL1995436W","756"
"OL1995436W","349"
"OL1995436W","133"
"OL1995436W","337"
"OL1995436W","263"
"OL1995436W","2054"
"OL1995436W","275"
"OL1995436W","759"
"OL1995436W","1059"
"OL1995436W","1161"
"OL1995436W","713"
"OL1995436W","1162"
"OL1995436W","1876"
"OL1995436W","757"
"OL1995436W","1061"
"OL2122248W","1951"
"OL2122248W","809"
"OL2122248W","338"
"OL2122248W","605"
"OL2122248W","161"
"OL2122248W","333"
"OL2122248W","806"
"OL2122248W","429"
"OL2122248W","1299"
"OL2122248W","1452"
"OL2122248W","133"
"OL3230827W","417"
"OL3230827W","1705"
"OL3230827W","428"
"OL3230827W","133"
"OL4165034W","133"
"OL4165034W","452"
"OL4165034W","540"
"OL4165034W","645"
"OL4165034W","653"
"OL4531112W","133"
"OL4635005W","133"
"OL4635005W","761"
"OL4635005W","1678"
"OL4784617W","133"
"OL4784617W","1465"
"OL6975918W","133"
"OL8708583W","133"
"OL885579W","680"
"OL885579W","420"
"OL885579W","2110"
"OL885579W","133"
"OL10810892W","133"
"OL12301013W","479"
"OL12301013W","133"
"OL12353047W","479"
"OL12353047W","133"
"OL12711485W","479"
"OL12711485W","1066"
"OL12711485W","607"
"OL12940805W","479"
"OL12940805W","756"
"OL12940805W","133"
"OL12940805W","1951"
"OL13150434W","479"
"OL13150434W","133"
"OL13150434W","1951"
"OL13150434W","754"
"OL16516763W","133"
"OL16516763W","1146"
"OL16516763W","479"
"OL16516763W","941"
"OL16516763W","1164"
"OL16617949W","1895"
"OL16617949W","276"
"OL16617949W","429"
"OL16617949W","2266"
"OL16617949W","278"
"OL16617949W","133"
"OL16617949W","282"
"OL16617949W","1893"
"OL16941503W","389"
"OL16941503W","430"
"OL16941503W","1546"
"OL16941503W","426"
"OL16941503W","133"
"OL16941503W","438"
"OL16943664W","699"
"OL16943664W","133"
"OL16978208W","237"
"OL16978208W","446"
"OL16978208W","430"
"OL16978208W","1546"
"OL16978208W","1023"
"OL16978208W","133"
"OL17319624W","2393"
"OL17319624W","2337"
"OL17319624W","2399"
"OL17319624W","2317"
"OL17319624W","2397"
"OL17319624W","2313"
"OL17319624W","2353"
"OL4304492W","133"
"OL4304492W","206"
"OL4583129W","133"
"OL4583129W","1143"
"OL4583129W","1974"
"OL6042826W","133"
"OL6042826W","479"
"OL6411174W","133"
"OL9037151W","283"
"OL9037151W","493"
"OL9037151W","627"
"OL11817426W","479"
"OL11817426W","133"
"OL12343094W","479"
"OL12343094W","1468"
"OL12343094W","133"
"OL12343094W","1258"
"OL13595146W","479"
"OL13595146W","1575"
"OL13595146W","610"
"OL13595146W","1080"
"OL13595146W","676"
"OL13595146W","2235"
"OL13595146W","133"
"OL15183947W","794"
"OL15183947W","1871"
"OL15183947W","1562"
"OL16296208W","756"
"OL16296208W","133"
"OL16643574W","222"
"OL16643574W","386"
"OL16643574W","223"
"OL16643574W","1258"
"OL16643574W","1286"
"OL16643574W","745"
"OL16643574W","479"
"OL16643574W","133"
"OL16643574W","748"
"OL16643574W","533"
"OL16643574W","539"
"OL16643574W","127"
"OL16724592W","479"
"OL16724592W","133"
"OL16767676W","653"
"OL16767676W","69"
"OL16767676W","881"
"OL16767676W","2282"
"OL16767676W","133"
"OL16767676W","1070"
"OL16920943W","676"
"OL16920943W","430"
"OL16920943W","133"
"OL16920943W","539"
"OL16925698W","699"
"OL16925698W","133"
"OL16940361W","1347"
"OL16940361W","540"
"OL16940361W","133"
"OL16942723W","699"
"OL16942723W","133"
"OL16944343W","446"
"OL16944343W","418"
"OL16944343W","430"
"OL16944343W","1546"
"OL16944343W","426"
"OL16944343W","133"
"OL16944343W","438"
"OL16963797W","1024"
"OL16963797W","430"
"OL16963797W","1421"
"OL16963797W","645"
"OL16963797W","418"
"OL16963797W","133"
"OL2720307W","479"
"OL2720307W","133"
"OL3679088W","133"
"OL3679088W","479"
"OL3679088W","540"
"OL3679088W","1642"
"OL4505540W","102"
"OL4505540W","133"
"OL4505540W","180"
"OL4505540W","540"
"OL4505540W","953"
"OL4505540W","1705"
"OL4624597W","133"
"OL4624597W","540"
"OL4624597W","908"
"OL4624597W","1541"
"OL4624597W","1678"
"OL4807804W","133"
