"id","title"
"OL11590206W","MICAI 2000"
"OL12925168W","The framing of artificial intelligence"
"OL13501880W","Artificial intelligence planning systems"
"OL13622961W","Meta-level architectures and reflection"
"OL15414252W","A computational perspective on visual attention"
"OL16243257W","Highlights in practical applications of agents and multiagent systems"
"OL16931792W","Advances in Hybrid Information Technology"
"OL16932854W","From Animals to Animats 10"
"OL17111812W","The End Of The Computer"
"OL1995436W","Understanding intelligence"
"OL2122248W","Operator modeling in commercial aviation"
"OL3230827W","Developing games that learn"
"OL4165034W","Des machines et des hommes"
"OL4531112W","L' âme-machine"
"OL4635005W","Learning search control knowledge"
"OL4784617W","Connectionistic problem solving"
"OL6975918W","Methoden der maschinellen Intelligenz"
"OL8708583W","The Artificial intelligence experience"
"OL885579W","Il segno dell'informatica"
"OL10810892W","Fifth international joint conference on artificial intelligence-1977"
"OL11006511W","Second International Joint Conference on Artificial Intelligence"
"OL12301013W","Professional practice in artificial intelligence"
"OL12353047W","Modeling decisions for artificial intelligence"
"OL12711485W","Multiagent system technologies"
"OL12940805W","Proceedings"
"OL13150434W","Proceedings, 13th IEEE International Conference on Tools with Artificial Intelligence"
"OL16516763W","AI*IA 2009"
"OL16617949W","Intelligent technologies for web applications"
"OL16767013W","Artificial intelligence research and development"
"OL16931867W","Spatial Cognition IV Reasoning, Action, Interaction"
"OL16941503W","Advances in Neural Networks – ISNN 2011"
"OL16943664W","Ensembles in Machine Learning Applications"
"OL16964807W","Computer Vision -- ECCV 2002"
"OL16978208W","Biometrics and ID Management"
"OL17189326W","Artificial Intelligence – Agents and Environments"
"OL17319624W","Crystal Society"
"OL17534915W","Computational Neuroscience For Advancing Artificial Intelligence Models Methods And Applications"
"OL4304492W","Artificial intelligence and instruction"
"OL4583129W","Fifth Conference on Artificial Intelligence for Space Applications"
"OL6042826W","IEEE/WIC International Conference on Web Intelligence (WI 2004)"
"OL6411174W","Principes des systèmes intelligents"
"OL8056560W","Applications of Artificial Intelligence in England"
"OL8131142W","Applications of Artificial Intelligence"
"OL9037151W","Dynamic flexible constraint satisfaction and its application to AI planning"
